Name,Infant Mortality,,
Location,TimeFrame,Data,Fips
Morrisania,2015,6.4,203
Mott Haven,2015,5.1,201
Murray Hill/Stuyvesant,2015,2.1,106
Park Slope,2015,1.8,306
Pelham Parkway,2015,8.1,211
Queens Village,2015,5.7,413
Rego Park/Forest Hills,2015,3.1,406
Ridgewood/Glendale,2015,1.8,405
Riverdale,2015,4.4,208
Sheepshead Bay,2015,2.9,315
South Beach,2015,2.9,502
St. George,2015,6.9,501
Sunnyside/Woodside,2015,4,402
Sunset Park,2015,2,307
The Rockaways,2015,6.3,414
Throgs Neck,2015,4.3,210
Tottenville,2015,2.4,503
Unionport/Soundview,2015,6,209
University Heights,2015,5.4,205
Upper East Side,2015,0.8,108
Upper West Side,2015,2.6,107
Washington Heights,2015,4.3,112
Williamsbridge,2015,7.7,212
Williamsburg/Greenpoint,2015,2.4,301
Woodhaven,2015,4.1,409
Manhattanville,2015,4.5,109
Manhattanville,2014,4.1,109
Manhattanville,2013,4.7,109
Manhattanville,2012,4.9,109
Manhattanville,2011,4.7,109
Manhattanville,2010,5.7,109
Manhattanville,2009,7,109
Manhattanville,2008,7.22106,109
Manhattanville,2007,6.12801,109
Manhattanville,2006,6.39189,109
Manhattanville,2005,7.29614,109
Manhattanville,2004,6.63243,109
Manhattanville,2003,5.7853,109
Manhattanville,2002,5.10313,109
Manhattan,2015,3.7,36061
Manhattan,2014,3.5,36061
Manhattan,2013,3.2,36061
Manhattan,2012,2.8,36061
Manhattan,2011,4.1,36061
Manhattan,2010,3.7,36061
Manhattan,2009,4.1,36061
Manhattan,2008,4.6,36061
Manhattan,2007,3.7,36061
Manhattan,2006,4.1,36061
Manhattan,2005,4.4,36061
Manhattan,2004,4.2,36061
Manhattan,2003,4.7,36061
Manhattan,2002,4.3,36061
Manhattan,2001,5.4,36061
Manhattan,2000,5,36061
Bronx,2015,5.1,36005
Bronx,2014,4.6,36005
Bronx,2013,6.2,36005
Bronx,2012,5.8,36005
Bronx,2011,5.2,36005
Bronx,2010,5.7,36005
Bronx,2009,6.7,36005
Bronx,2008,6.3,36005
Bronx,2007,6.2,36005
Bronx,2006,7.1,36005
Bronx,2005,6.3,36005
Bronx,2004,7.1,36005
Bronx,2003,8.7,36005
Bronx,2002,6.6,36005
Bronx,2001,5.9,36005
Bronx,2000,7.5,36005
Brooklyn,2015,3.6,36047
Brooklyn,2014,3.9,36047
Brooklyn,2013,3.4,36047
Brooklyn,2012,4.3,36047
Brooklyn,2011,4.1,36047
Brooklyn,2010,4.2,36047
Brooklyn,2009,4.9,36047
Brooklyn,2008,5.3,36047
Brooklyn,2007,5.4,36047
Brooklyn,2006,6,36047
Brooklyn,2005,6,36047
Brooklyn,2004,6.6,36047
Brooklyn,2003,6.3,36047
Brooklyn,2002,6.9,36047
Brooklyn,2001,6,36047
Brooklyn,2000,6.9,36047
Queens,2015,4.2,36081
Queens,2014,3.9,36081
Queens,2013,4.1,36081
Queens,2012,5.1,36081
Queens,2011,4.8,36081
Queens,2010,4.4,36081
Queens,2009,4.5,36081
Queens,2008,4.8,36081
Queens,2007,5,36081
Queens,2006,5.3,36081
Queens,2005,5.1,36081
Queens,2004,5.4,36081
Queens,2003,5.5,36081
Queens,2002,4.6,36081
Queens,2001,4.9,36081
Queens,2000,5.8,36081
Staten Island,2015,3.8,36085
Staten Island,2014,4,36085
Staten Island,2013,5.7,36085
Staten Island,2012,4.4,36085
Staten Island,2011,4,36085
Staten Island,2010,6.6,36085
Staten Island,2009,3.7,36085
Staten Island,2008,3,36085
Staten Island,2007,3.9,36085
Staten Island,2006,3.4,36085
Staten Island,2005,5.2,36085
Staten Island,2004,5,36085
Staten Island,2003,5.2,36085
Staten Island,2002,4.6,36085
Staten Island,2001,5.5,36085
Staten Island,2000,6.1,36085
New York City,2015,4.3,3651000
New York City,2014,4.2,3651000
New York City,2013,4.6,3651000
New York City,2012,4.7,3651000
New York City,2011,4.7,3651000
New York City,2010,4.9,3651000
New York City,2009,5.3,3651000
New York City,2008,5.5,3651000
New York City,2007,5.4,3651000
New York City,2006,5.9,3651000
New York City,2005,6,3651000
New York City,2004,6.1,3651000
New York City,2003,6.5,3651000
New York City,2002,6,3651000
New York City,2001,6.1,3651000
New York City,2000,6.7,3651000
Battery Park/Tribeca,2016,3,101
Greenwich Village,2016,1.7,102
Lower East Side,2016,3.2,103
Chelsea/Clinton,2016,2.3,104
Midtown Business District,2016,1.8,105
Murray Hill/Stuyvesant,2016,1.8,106
Upper West Side,2016,2.3,107
Upper East Side,2016,1.8,108
Manhattanville,2016,5,109
Central Harlem,2016,6.7,110
East Harlem,2016,5.2,111
Washington Heights,2016,4.2,112
Mott Haven,2016,4.6,201
Hunts Point,2016,2.7,202
Morrisania,2016,4.8,203
Concourse/Highbridge,2016,3.4,204
University Heights,2016,4.6,205
East Tremont,2016,4.1,206
Bedford Park,2016,4.2,207
Riverdale,2016,4.3,208
Unionport/Soundview,2016,5.8,209
Throgs Neck,2016,3.9,210
Pelham Parkway,2016,7.8,211
Williamsbridge,2016,6.2,212
Williamsburg/Greenpoint,2016,2.8,301
Fort Greene/Brooklyn Hts,2016,2.4,302
Bedford Stuyvesant,2016,4.9,303
Bushwick,2016,3.4,304
East New York,2016,6.2,305
Park Slope,2016,2.3,306
Sunset Park,2016,2.4,307
Crown Heights North,2016,4.9,308
Crown Heights South,2016,3.8,309
Bay Ridge,2016,1,310
Bensonhurst,2016,3.6,311
Borough Park,2016,2.2,312
Coney Island,2016,4.7,313
Flatbush/Midwood,2016,4.3,314
Sheepshead Bay,2016,2.1,315
Brownsville,2016,5.4,316
East Flatbush,2016,8.5,317
Canarsie,2016,5,318
Astoria,2016,5,401
Sunnyside/Woodside,2016,3.1,402
Jackson Heights,2016,4.6,403
Elmhurst/Corona,2016,3.3,404
Ridgewood/Glendale,2016,2.2,405
Rego Park/Forest Hills,2016,2.8,406
Flushing,2016,3,407
Fresh Meadows/Briarwood,2016,2.5,408
Woodhaven,2016,4.4,409
Howard Beach,2016,5.5,410
Bayside,2016,1.9,411
Jamaica/St. Albans,2016,6.1,412
Queens Village,2016,5.6,413
The Rockaways,2016,5.2,414
St. George,2016,4.8,501
South Beach,2016,2.8,502
Tottenville,2016,2.6,503
Bronx,2016,4.4,36005
Brooklyn,2016,3.6,36047
Manhattan,2016,2.8,36061
Queens,2016,4.1,36081
Staten Island,2016,3,36085
New York City,2016,4.1,3651000
Battery Park/Tribeca,2017,2.4,101
Greenwich Village,2017,0.9,102
Lower East Side,2017,3.9,103
Chelsea/Clinton,2017,1.3,104
Midtown Business District,2017,0.6,105
Murray Hill/Stuyvesant,2017,2.4,106
Upper West Side,2017,1.4,107
Upper East Side,2017,2.1,108
Manhattanville,2017,5.7,109
Central Harlem,2017,6.5,110
East Harlem,2017,5.1,111
Washington Heights,2017,4,112
Mott Haven,2017,4.8,201
Hunts Point,2017,2.9,202
Morrisania,2017,5.1,203
Concourse/Highbridge,2017,4.7,204
University Heights,2017,5.5,205
East Tremont,2017,6.3,206
Bedford Park,2017,4.1,207
Riverdale,2017,3.7,208
Unionport/Soundview,2017,6.4,209
Throgs Neck,2017,5,210
Pelham Parkway,2017,5,211
Williamsbridge,2017,5.5,212
Williamsburg/Greenpoint,2017,3.2,301
Fort Greene/Brooklyn Hts,2017,2.8,302
Bedford Stuyvesant,2017,4.6,303
Bushwick,2017,2.1,304
East New York,2017,5.7,305
Park Slope,2017,2.4,306
Sunset Park,2017,2.7,307
Crown Heights North,2017,4.7,308
Crown Heights South,2017,4.1,309
Bay Ridge,2017,0.9,310
Bensonhurst,2017,3,311
Borough Park,2017,1.9,312
Coney Island,2017,3.7,313
Flatbush/Midwood,2017,4.4,314
Sheepshead Bay,2017,2.7,315
Brownsville,2017,6,316
East Flatbush,2017,6.7,317
Canarsie,2017,6.4,318
Astoria,2017,6.7,401
Sunnyside/Woodside,2017,3.4,402
Jackson Heights,2017,3.3,403
Elmhurst/Corona,2017,3.7,404
Ridgewood/Glendale,2017,2.8,405
Rego Park/Forest Hills,2017,2.4,406
Flushing,2017,3.4,407
Fresh Meadows/Briarwood,2017,3.1,408
Woodhaven,2017,4.2,409
Howard Beach,2017,4.7,410
Bayside,2017,3.9,411
Jamaica/St. Albans,2017,5.9,412
Queens Village,2017,6.7,413
The Rockaways,2017,4.6,414
St. George,2017,5.4,501
South Beach,2017,5.1,502
Tottenville,2017,2.6,503
New York City,2017,4.3,3651000
Manhattan,2017,3,36061
Bronx,2017,5.4,36005
Brooklyn,2017,3.6,36047
Queens,2017,4.4,36081
Staten Island,2017,6.7,36085
