Name,Infant Mortality,,
Location,TimeFrame,Data,Fips
Astoria,2005,5.11546,401
Battery Park/Tribeca,2005,0.5423,101
Bay Ridge,2005,3.84771,310
Bayside,2005,1.88857,411
Bedford Park,2005,5.86198,207
Bedford Stuyvesant,2005,9.13995,303
Bensonhurst,2005,3.83377,311
Borough Park,2005,4.11977,312
Brownsville,2005,8.5668,316
Bushwick,2005,7.0688,304
Canarsie,2005,7.77543,318
Central Harlem,2005,6.91563,110
Chelsea/Clinton,2005,3.44037,104
Concourse/Highbridge,2005,7.3193,204
Coney Island,2005,9.56399,313
Crown Heights North,2005,10.51454,308
Crown Heights South,2005,8.17335,309
East Flatbush,2005,9.27748,317
East Harlem,2005,4.87713,111
East New York,2005,9.5756,305
East Tremont,2005,8.6001,206
Elmhurst/Corona,2005,5.15522,404
Flatbush/Midwood,2005,6.21192,314
Flushing,2005,3.03197,407
Fort Greene/Brooklyn Hts,2005,5.77859,302
Fresh Meadows/Briarwood,2005,3.61629,408
Greenwich Village,2005,2.76789,102
Howard Beach,2005,5.75349,410
Hunts Point,2005,5.72956,202
Jackson Heights,2005,3.74758,403
Jamaica/St. Albans,2005,9.11957,412
Lower East Side,2005,5.06366,103
Midtown Business District,2005,6.85401,105
Morrisania,2005,10.42753,203
Mott Haven,2005,6.79152,201
Murray Hill/Stuyvesant,2005,2.89474,106
Park Slope,2005,4.34683,306
Pelham Parkway,2005,5.83374,211
Queens Village,2005,10.6282,413
Rego Park/Forest Hills,2005,4.34075,406
Ridgewood/Glendale,2005,3.05466,405
Riverdale,2005,5.04901,208
Sheepshead Bay,2005,2.53464,315
South Beach,2005,5.09613,502
St. George,2005,5.44778,501
Sunnyside/Woodside,2005,3.32152,402
Sunset Park,2005,3.8739,307
The Rockaways,2005,8.29876,414
Throgs Neck,2005,7.53769,210
Tottenville,2005,4.81928,503
Unionport/Soundview,2005,7.51976,209
University Heights,2005,7.5818,205
Upper East Side,2005,2.80505,108
Upper West Side,2005,2.99505,107
Washington Heights,2005,5.77585,112
Williamsbridge,2005,9.23023,212
Williamsburg/Greenpoint,2005,3.65434,301
Woodhaven,2005,5.60686,409
Astoria,2006,5.82003,401
Battery Park/Tribeca,2006,1.47131,101
Bay Ridge,2006,4.41856,310
Bayside,2006,1.93798,411
Bedford Park,2006,5.50853,207
Bedford Stuyvesant,2006,8.3725,303
Bensonhurst,2006,3.63857,311
Borough Park,2006,3.2601,312
Brownsville,2006,9.66406,316
Bushwick,2006,6.6762,304
Canarsie,2006,7.60608,318
Central Harlem,2006,8.01721,110
Chelsea/Clinton,2006,1.14112,104
Concourse/Highbridge,2006,5.88779,204
Coney Island,2006,8.81684,313
Crown Heights North,2006,9.36929,308
Crown Heights South,2006,8.27586,309
East Flatbush,2006,9.42857,317
East Harlem,2006,4.70455,111
East New York,2006,10.24614,305
East Tremont,2006,6.41635,206
Elmhurst/Corona,2006,4.03904,404
Flatbush/Midwood,2006,6.85591,314
Flushing,2006,3.76395,407
Fort Greene/Brooklyn Hts,2006,5.84966,302
Fresh Meadows/Briarwood,2006,4.90196,408
Greenwich Village,2006,1.92086,102
Howard Beach,2006,6.4588,410
Hunts Point,2006,5.69909,202
Jackson Heights,2006,4.16915,403
Jamaica/St. Albans,2006,8.51827,412
Lower East Side,2006,3.82465,103
Midtown Business District,2006,6.95894,105
Morrisania,2006,10.22234,203
Mott Haven,2006,8.02469,201
Murray Hill/Stuyvesant,2006,3.94115,106
Park Slope,2006,4.00802,306
Pelham Parkway,2006,4.3753,211
Queens Village,2006,7.44133,413
Rego Park/Forest Hills,2006,4.31267,406
Ridgewood/Glendale,2006,3.03514,405
Riverdale,2006,3.57249,208
Sheepshead Bay,2006,3.03541,315
South Beach,2006,4.38596,502
St. George,2006,4.75248,501
Sunnyside/Woodside,2006,3.14819,402
Sunset Park,2006,3.15378,307
The Rockaways,2006,8.92174,414
Throgs Neck,2006,8.20842,210
Tottenville,2006,4.39518,503
Unionport/Soundview,2006,7.80251,209
University Heights,2006,6.39318,205
Upper East Side,2006,3.26607,108
Upper West Side,2006,3.57637,107
Washington Heights,2006,4.67236,112
Williamsbridge,2006,9.34738,212
Williamsburg/Greenpoint,2006,4.06635,301
Woodhaven,2006,6.15948,409
Astoria,2007,4.82146,401
Battery Park/Tribeca,2007,3.11526,101
Bay Ridge,2007,4.0032,310
Bayside,2007,3.77358,411
Bedford Park,2007,7.26881,207
Bedford Stuyvesant,2007,9.67789,303
Bensonhurst,2007,3.2826,311
Borough Park,2007,3.47957,312
Brownsville,2007,8.92647,316
Bushwick,2007,6.18753,304
Canarsie,2007,7.27651,318
Central Harlem,2007,8.98789,110
Chelsea/Clinton,2007,0.76599,104
Concourse/Highbridge,2007,5.59832,204
Coney Island,2007,7.95907,313
Crown Heights North,2007,7.89889,308
Crown Heights South,2007,6.88976,309
East Flatbush,2007,7.42963,317
East Harlem,2007,5.65078,111
East New York,2007,9.58392,305
East Tremont,2007,5.92277,206
Elmhurst/Corona,2007,3.62319,404
Flatbush/Midwood,2007,6.06649,314
Flushing,2007,3.9176,407
Fort Greene/Brooklyn Hts,2007,4.45682,302
Fresh Meadows/Briarwood,2007,5.82926,408
Greenwich Village,2007,2.24131,102
Howard Beach,2007,5.45827,410
Hunts Point,2007,5.92593,202
Jackson Heights,2007,4.46901,403
Jamaica/St. Albans,2007,8.53485,412
Lower East Side,2007,2.41169,103
Midtown Business District,2007,6.08519,105
Morrisania,2007,8.70214,203
Mott Haven,2007,8.73883,201
Murray Hill/Stuyvesant,2007,3.69491,106
Park Slope,2007,4.8853,306
Pelham Parkway,2007,3.1205,211
Queens Village,2007,6.86106,413
Rego Park/Forest Hills,2007,3.12012,406
Ridgewood/Glendale,2007,3.13922,405
Riverdale,2007,3.18656,208
Sheepshead Bay,2007,3.85518,315
South Beach,2007,4.2125,502
St. George,2007,4.97252,501
Sunnyside/Woodside,2007,3.79295,402
Sunset Park,2007,2.24533,307
The Rockaways,2007,7.087,414
Throgs Neck,2007,6.41675,210
Tottenville,2007,3.05518,503
Unionport/Soundview,2007,6.99746,209
University Heights,2007,5.91483,205
Upper East Side,2007,2.59894,108
Upper West Side,2007,3.93382,107
Washington Heights,2007,3.93473,112
Williamsbridge,2007,8.22148,212
Williamsburg/Greenpoint,2007,4.16927,301
Woodhaven,2007,6.41975,409
Astoria,2008,4.51854,401
Battery Park/Tribeca,2008,2.83976,101
Bay Ridge,2008,3.87822,310
Bayside,2008,3.82226,411
Bedford Park,2008,6.91619,207
Bedford Stuyvesant,2008,8.86575,303
Bensonhurst,2008,3.51185,311
Borough Park,2008,2.72425,312
Brownsville,2008,10.29513,316
Bushwick,2008,5.78592,304
Canarsie,2008,7.21185,318
Central Harlem,2008,8.63061,110
Chelsea/Clinton,2008,1.12867,104
Concourse/Highbridge,2008,6.33505,204
Coney Island,2008,5.62114,313
Crown Heights North,2008,7.01516,308
Crown Heights South,2008,5.11308,309
East Flatbush,2008,7.17566,317
East Harlem,2008,6.35514,111
East New York,2008,9.53147,305
East Tremont,2008,6.45905,206
