Name,Child Abuse and Neglect Investigations,,
Location,TimeFrame,Data,Fips
Williamsburg/Greenpoint,2011,614,301
Williamsburg/Greenpoint,2016,519,301
Williamsburg/Greenpoint,2015,481,301
Williamsburg/Greenpoint,2014,483,301
Williamsburg/Greenpoint,2013,517,301
Williamsburg/Greenpoint,2009,685,301
Williamsburg/Greenpoint,2008,652,301
Williamsburg/Greenpoint,2007,732,301
Williamsburg/Greenpoint,2006,864,301
Williamsburg/Greenpoint,2005,586,301
Williamsburg/Greenpoint,2004,629,301
Williamsburg/Greenpoint,2003,681,301
Williamsburg/Greenpoint,2002,688,301
Williamsburg/Greenpoint,2017,570,301
Williamsburg/Greenpoint,2019,521,301
Williamsburg/Greenpoint,2018,633,301
Fort Greene/Brooklyn Hts,2018,423,302
Fort Greene/Brooklyn Hts,2019,415,302
Fort Greene/Brooklyn Hts,2017,442,302
Fort Greene/Brooklyn Hts,2002,551,302
Fort Greene/Brooklyn Hts,2003,578,302
Fort Greene/Brooklyn Hts,2004,455,302
Fort Greene/Brooklyn Hts,2005,433,302
Fort Greene/Brooklyn Hts,2006,588,302
Fort Greene/Brooklyn Hts,2007,563,302
Fort Greene/Brooklyn Hts,2008,442,302
Fort Greene/Brooklyn Hts,2009,555,302
Fort Greene/Brooklyn Hts,2013,462,302
Fort Greene/Brooklyn Hts,2014,417,302
Fort Greene/Brooklyn Hts,2015,397,302
Fort Greene/Brooklyn Hts,2016,397,302
Fort Greene/Brooklyn Hts,2011,459,302
Fort Greene/Brooklyn Hts,2012,470,302
Fort Greene/Brooklyn Hts,2010,496,302
Bedford Stuyvesant,2010,2046,303
Bedford Stuyvesant,2012,1669,303
Bedford Stuyvesant,2011,1918,303
Bedford Stuyvesant,2016,1341,303
Bedford Stuyvesant,2015,1426,303
Bedford Stuyvesant,2014,1465,303
Bedford Stuyvesant,2013,1584,303
Bedford Stuyvesant,2009,2115,303
Bedford Stuyvesant,2008,2038,303
Bedford Stuyvesant,2007,2009,303
Bedford Stuyvesant,2006,2179,303
Bedford Stuyvesant,2005,1715,303
Bedford Stuyvesant,2004,1800,303
Bedford Stuyvesant,2003,1932,303
Bedford Stuyvesant,2002,1817,303
Bedford Stuyvesant,2017,1424,303
Bedford Stuyvesant,2019,1152,303
Bedford Stuyvesant,2018,1344,303
Bushwick,2018,701,304
Bushwick,2019,699,304
Bushwick,2017,833,304
Bushwick,2002,1227,304
Bushwick,2003,1262,304
Bushwick,2004,1099,304
Bushwick,2005,1095,304
Bushwick,2006,1557,304
Bushwick,2007,1343,304
Bushwick,2008,1291,304
Bushwick,2009,1355,304
Bushwick,2013,972,304
Bushwick,2014,1006,304
Bushwick,2015,807,304
Bushwick,2016,894,304
Bushwick,2011,1091,304
Bushwick,2012,1013,304
Bushwick,2010,1267,304
East New York,2010,2485,305
East New York,2012,2284,305
East New York,2011,2486,305
East New York,2016,2353,305
East New York,2015,2148,305
East New York,2014,2187,305
East New York,2013,2137,305
East New York,2009,2502,305
East New York,2008,2375,305
East New York,2007,2442,305
East New York,2006,2562,305
East New York,2005,1719,305
East New York,2004,1915,305
East New York,2003,2048,305
East New York,2002,2080,305
East New York,2017,2319,305
East New York,2019,1953,305
East New York,2018,2117,305
Park Slope,2018,369,306
Park Slope,2019,366,306
Park Slope,2017,361,306
Park Slope,2002,558,306
Park Slope,2003,546,306
Park Slope,2004,529,306
Park Slope,2005,478,306
Park Slope,2006,542,306
Park Slope,2007,417,306
Park Slope,2008,435,306
Park Slope,2009,501,306
Park Slope,2013,326,306
Park Slope,2014,332,306
Park Slope,2015,305,306
Park Slope,2016,330,306
Park Slope,2011,385,306
Park Slope,2012,349,306
Park Slope,2010,435,306
Sunset Park,2010,664,307
Sunset Park,2012,580,307
Sunset Park,2011,614,307
Sunset Park,2016,667,307
Sunset Park,2015,504,307
Sunset Park,2014,583,307
Sunset Park,2013,558,307
Sunset Park,2009,689,307
Sunset Park,2008,619,307
Sunset Park,2007,593,307
Sunset Park,2006,716,307
Sunset Park,2005,564,307
Sunset Park,2004,508,307
Sunset Park,2003,541,307
Sunset Park,2002,651,307
Sunset Park,2017,658,307
Sunset Park,2019,630,307
Sunset Park,2018,616,307
Crown Heights North,2018,774,308
Crown Heights North,2019,648,308
Crown Heights North,2017,805,308
Crown Heights North,2002,1048,308
Crown Heights North,2003,977,308
Crown Heights North,2004,939,308
Crown Heights North,2005,875,308
Crown Heights North,2006,1073,308
Crown Heights North,2007,990,308
Crown Heights North,2008,957,308
Crown Heights North,2009,1025,308
Crown Heights North,2013,791,308
Crown Heights North,2014,759,308
Crown Heights North,2015,757,308
Crown Heights North,2016,821,308
Crown Heights North,2011,929,308
Crown Heights North,2012,799,308
Crown Heights North,2010,912,308
Crown Heights South,2010,643,309
Crown Heights South,2012,529,309
Crown Heights South,2011,613,309
Crown Heights South,2016,524,309
Crown Heights South,2015,512,309
Crown Heights South,2014,514,309
Crown Heights South,2013,541,309
Crown Heights South,2009,661,309
Crown Heights South,2008,595,309
Crown Heights South,2007,601,309
Crown Heights South,2006,696,309
Crown Heights South,2005,546,309
Crown Heights South,2004,611,309
Crown Heights South,2003,645,309
Crown Heights South,2002,735,309
Crown Heights South,2017,514,309
Crown Heights South,2019,459,309
Crown Heights South,2018,522,309
Bay Ridge,2018,385,310
Bay Ridge,2019,335,310
Bay Ridge,2017,390,310
Bay Ridge,2002,320,310
Bay Ridge,2003,298,310
Bay Ridge,2004,331,310
Bay Ridge,2005,260,310
Bay Ridge,2006,398,310
Bay Ridge,2007,354,310
Bay Ridge,2008,385,310
Bay Ridge,2009,426,310
Bay Ridge,2013,325,310
Bay Ridge,2014,338,310
Bay Ridge,2015,372,310
Bay Ridge,2016,392,310
Bay Ridge,2011,373,310
Bay Ridge,2012,359,310
Bay Ridge,2010,352,310
Bensonhurst,2010,596,311
Bensonhurst,2012,616,311
Bensonhurst,2011,611,311
Bensonhurst,2016,619,311
Bensonhurst,2015,616,311
Bensonhurst,2014,554,311
Bensonhurst,2013,562,311
Bensonhurst,2009,596,311
Bensonhurst,2008,593,311
Bensonhurst,2007,624,311
Bensonhurst,2006,623,311
Bensonhurst,2005,497,311
Bensonhurst,2004,525,311
Bensonhurst,2003,591,311
Bensonhurst,2002,636,311
Bensonhurst,2017,656,311
Bensonhurst,2019,584,311
Bensonhurst,2018,648,311
Borough Park,2018,469,312
Borough Park,2019,484,312
Borough Park,2017,531,312
Borough Park,2002,511,312
Borough Park,2003,420,312
Borough Park,2004,381,312
Borough Park,2005,362,312
Borough Park,2006,462,312
Borough Park,2007,554,312
Borough Park,2008,489,312
Borough Park,2009,545,312
Borough Park,2013,426,312
Borough Park,2014,462,312
Borough Park,2015,412,312
Borough Park,2016,509,312
Borough Park,2011,451,312
Borough Park,2012,450,312
Borough Park,2010,484,312
Coney Island,2010,704,313
Coney Island,2012,649,313
Coney Island,2011,767,313
Coney Island,2016,757,313
Coney Island,2015,762,313
Coney Island,2014,664,313
Coney Island,2013,598,313
Coney Island,2009,736,313
Coney Island,2008,707,313
Coney Island,2007,755,313
Coney Island,2006,805,313
Coney Island,2005,665,313
Coney Island,2004,663,313
Coney Island,2003,754,313
Coney Island,2002,1041,313
Coney Island,2017,809,313
Coney Island,2019,712,313
Coney Island,2018,768,313
Flatbush/Midwood,2018,780,314
Flatbush/Midwood,2019,691,314
Flatbush/Midwood,2017,844,314
Flatbush/Midwood,2002,1074,314
Flatbush/Midwood,2003,1030,314
Flatbush/Midwood,2004,911,314
Flatbush/Midwood,2005,737,314
Flatbush/Midwood,2006,1106,314
Flatbush/Midwood,2007,966,314
Flatbush/Midwood,2008,1027,314
Flatbush/Midwood,2009,1140,314
Flatbush/Midwood,2013,941,314
Flatbush/Midwood,2014,847,314
Flatbush/Midwood,2015,818,314
Flatbush/Midwood,2016,884,314
Flatbush/Midwood,2011,1003,314
Flatbush/Midwood,2012,955,314
Flatbush/Midwood,2010,1050,314
Sheepshead Bay,2010,536,315
Sheepshead Bay,2012,516,315
Sheepshead Bay,2011,492,315
Sheepshead Bay,2016,537,315
Sheepshead Bay,2015,475,315
Sheepshead Bay,2014,519,315
Sheepshead Bay,2013,501,315
Sheepshead Bay,2009,570,315
Sheepshead Bay,2008,567,315
Sheepshead Bay,2007,486,315
Sheepshead Bay,2006,537,315
Sheepshead Bay,2005,423,315
Sheepshead Bay,2004,451,315
Sheepshead Bay,2003,549,315
Sheepshead Bay,2002,658,315
Sheepshead Bay,2017,597,315
Sheepshead Bay,2019,505,315
Sheepshead Bay,2018,609,315
Brownsville,2018,1667,316
Brownsville,2019,1536,316
Brownsville,2017,1763,316
Brownsville,2002,1606,316
Brownsville,2003,1399,316
Brownsville,2004,1262,316
Brownsville,2005,1212,316
Brownsville,2006,1653,316
Brownsville,2007,1441,316
Brownsville,2008,1662,316
Brownsville,2009,1665,316
Brownsville,2013,1553,316
Brownsville,2014,1625,316
Brownsville,2015,1572,316
Brownsville,2016,1702,316
Brownsville,2011,1683,316
Brownsville,2012,1595,316
Brownsville,2010,1724,316
East Flatbush,2010,1327,317
East Flatbush,2012,1205,317
East Flatbush,2011,1341,317
East Flatbush,2016,1343,317
East Flatbush,2015,1302,317
East Flatbush,2014,1284,317
East Flatbush,2013,1166,317
East Flatbush,2009,1368,317
East Flatbush,2008,1278,317
East Flatbush,2007,1220,317
East Flatbush,2006,1243,317
East Flatbush,2005,879,317
East Flatbush,2004,948,317
East Flatbush,2003,1133,317
East Flatbush,2002,1388,317
East Flatbush,2017,1363,317
East Flatbush,2019,1149,317
East Flatbush,2018,1236,317
Canarsie,2018,1143,318
Canarsie,2019,1139,318
Canarsie,2017,1225,318
Canarsie,2002,1193,318
Canarsie,2003,936,318
Canarsie,2004,899,318
Canarsie,2005,824,318
Canarsie,2006,1009,318
Canarsie,2007,989,318
Canarsie,2008,1090,318
Canarsie,2009,1083,318
Canarsie,2013,965,318
Canarsie,2014,1010,318
Canarsie,2015,1062,318
Canarsie,2016,1149,318
Canarsie,2011,1076,318
Canarsie,2012,969,318
Canarsie,2010,1016,318
Queens,2009,10406,36081
Queens,2008,12059,36081
Queens,2007,10907,36081
Queens,2006,11672,36081
Queens,2005,9843,36081
Queens,2004,9632,36081
Queens,2003,10461,36081
Queens,2002,11795,36081
Queens,2017,11459,36081
Queens,2016,10301,36081
Queens,2015,10059,36081
Queens,2014,9941,36081
Queens,2013,10105,36081
Queens,2012,10656,36081
Queens,2011,11540,36081
Queens,2010,11791,36081
Queens,2018,11405,36081
Queens,2019,11057,36081
Astoria,2019,768,401
Astoria,2017,870,401
Astoria,2018,841,401
Astoria,2010,776,401
Astoria,2012,737,401
Astoria,2011,788,401
Astoria,2016,707,401
Astoria,2015,728,401
Astoria,2014,693,401
Astoria,2013,635,401
Astoria,2009,775,401
Astoria,2008,788,401
Astoria,2007,843,401
Astoria,2006,978,401
Astoria,2005,905,401
Astoria,2004,898,401
Astoria,2003,995,401
Astoria,2002,885,401
Sunnyside/Woodside,2002,353,402
Sunnyside/Woodside,2003,338,402
Sunnyside/Woodside,2004,343,402
Sunnyside/Woodside,2005,318,402
Sunnyside/Woodside,2006,368,402
Sunnyside/Woodside,2007,335,402
Sunnyside/Woodside,2008,359,402
Sunnyside/Woodside,2009,349,402
Sunnyside/Woodside,2013,314,402
Sunnyside/Woodside,2014,338,402
Sunnyside/Woodside,2015,311,402
Sunnyside/Woodside,2016,403,402
Sunnyside/Woodside,2011,343,402
Sunnyside/Woodside,2012,322,402
Sunnyside/Woodside,2010,404,402
Sunnyside/Woodside,2018,403,402
Sunnyside/Woodside,2017,413,402
Sunnyside/Woodside,2019,406,402
Jackson Heights,2019,1007,403
Jackson Heights,2017,1004,403
Jackson Heights,2018,1101,403
Jackson Heights,2010,887,403
Jackson Heights,2012,919,403
Jackson Heights,2011,981,403
Jackson Heights,2016,944,403
Jackson Heights,2015,896,403
Jackson Heights,2014,894,403
Jackson Heights,2013,891,403
Jackson Heights,2009,799,403
Jackson Heights,2008,881,403
Jackson Heights,2007,786,403
