"Name","Graduation Rate"
"Description","New York City public high school students who graduated as of June after four years&nbsp;or six years of instruction. Six-year graduation rate data represent graduation rates for the cohort entering 6 years prior to the current school year (e.g. the 2019 six-year graduation rate reflect data for the 2013 cohort).&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","Data represent outcomes by graduation year. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"". CCC used school-level<br />
results to aggregate data to the community-district level."

Location,Total,TimeFrame,DataFormat,Data,Fips
"Queens Village, Rosedale, Hollis",Within 6 years,2010,Percent,0.70117,SD29
Upper West Side,Within 6 years,2010,Percent,0.74695,SD3
"Long Island City, Astoria",Within 6 years,2010,Percent,0.69308,SD30
Staten Island,Within 6 years,2010,Percent,0.75816,SD31
Bushwick,Within 6 years,2010,Percent,0.62043,SD32
East Harlem,Within 6 years,2010,Percent,0.75202,SD4
Central Harlem,Within 6 years,2010,Percent,0.73418,SD5
Washington Heights,Within 6 years,2010,Percent,0.73881,SD6
Mott Haven,Within 6 years,2010,Percent,0.65392,SD7
"Hunts Point, Port Morris",Within 6 years,2010,Percent,0.56996,SD8
"East Tremont, Morris Heights",Within 6 years,2010,Percent,0.69597,SD9
Battery Park/Tribeca,Within 4 years,2011,Percent,0.7803,101
Greenwich Village,Within 4 years,2011,Percent,0.41093,102
Lower East Side,Within 4 years,2011,Percent,0.64099,103
Chelsea/Clinton,Within 4 years,2011,Percent,0.68831,104
Midtown Business District,Within 4 years,2011,Percent,0.64829,105
Murray Hill/Stuyvesant,Within 4 years,2011,Percent,0.64877,106
Upper West Side,Within 4 years,2011,Percent,0.69828,107
Upper East Side,Within 4 years,2011,Percent,0.76754,108
Manhattanville,Within 4 years,2011,Percent,0.81462,109
Central Harlem,Within 4 years,2011,Percent,0.67468,110
East Harlem,Within 4 years,2011,Percent,0.67104,111
Washington Heights,Within 4 years,2011,Percent,0.57576,112
Mott Haven,Within 4 years,2011,Percent,0.56245,201
Hunts Point,Within 4 years,2011,Percent,0.34259,202
Morrisania,Within 4 years,2011,Percent,0.64086,203
Concourse/Highbridge,Within 4 years,2011,Percent,0.53364,204
University Heights,Within 4 years,2011,Percent,0.76,205
East Tremont,Within 4 years,2011,Percent,0.57381,206
Bedford Park,Within 4 years,2011,Percent,0.68656,207
Riverdale,Within 4 years,2011,Percent,0.70735,208
Unionport/Soundview,Within 4 years,2011,Percent,0.50065,209
Throgs Neck,Within 4 years,2011,Percent,0.53195,210
Pelham Parkway,Within 4 years,2011,Percent,0.72468,211
Williamsbridge,Within 4 years,2011,Percent,0.61157,212
Williamsburg/Greenpoint,Within 4 years,2011,Percent,0.64659,301
Fort Greene/Brooklyn Hts,Within 4 years,2011,Percent,0.83753,302
Bedford Stuyvesant,Within 4 years,2011,Percent,0.42986,303
Bushwick,Within 4 years,2011,Percent,0.50122,304
East New York,Within 4 years,2011,Percent,0.59877,305
Park Slope,Within 4 years,2011,Percent,0.56441,306
Sunset Park,Within 4 years,2011,Percent,0.98013,307
Crown Heights North,Within 4 years,2011,Percent,0.66092,308
Crown Heights South,Within 4 years,2011,Percent,0.5878,309
Bay Ridge,Within 4 years,2011,Percent,0.67797,310
Bensonhurst,Within 4 years,2011,Percent,0.68735,311
Borough Park,Within 4 years,2011,Percent,0.50596,312
Coney Island,Within 4 years,2011,Percent,0.56127,313
Flatbush/Midwood,Within 4 years,2011,Percent,0.75252,314
Sheepshead Bay,Within 4 years,2011,Percent,0.67206,315
Brownsville,Within 4 years,2011,Percent,0.37576,316
East Flatbush,Within 4 years,2011,Percent,0.58382,317
Canarsie,Within 4 years,2011,Percent,0.46847,318
Astoria,Within 4 years,2011,Percent,0.64132,401
Sunnyside/Woodside,Within 4 years,2011,Percent,0.75,402
Jackson Heights,Within 4 years,2011,Percent,0.6684,403
Elmhurst/Corona,Within 4 years,2011,Percent,0.55375,404
Ridgewood/Glendale,Within 4 years,2011,Percent,0.49172,405
Rego Park/Forest Hills,Within 4 years,2011,Percent,0.81792,406
Flushing,Within 4 years,2011,Percent,0.51487,407
Fresh Meadows/Briarwood,Within 4 years,2011,Percent,0.73062,408
Woodhaven,Within 4 years,2011,Percent,0.58108,409
Howard Beach,Within 4 years,2011,Percent,0.57317,410
Bayside,Within 4 years,2011,Percent,0.82176,411
Jamaica/St. Albans,Within 4 years,2011,Percent,0.59961,412
Queens Village,Within 4 years,2011,Percent,0.63523,413
The Rockaways,Within 4 years,2011,Percent,0.80189,414
St. George,Within 4 years,2011,Percent,0.63442,501
South Beach,Within 4 years,2011,Percent,0.8072,502
Tottenville,Within 4 years,2011,Percent,0.80578,503
Bronx,Within 4 years,2011,Percent,0.52674,36005
Brooklyn,Within 4 years,2011,Percent,0.59504,36047
Manhattan,Within 4 years,2011,Percent,0.62656,36061
Queens,Within 4 years,2011,Percent,0.64961,36081
Staten Island,Within 4 years,2011,Percent,0.72138,36085
New York City,Within 4 years,2011,Percent,0.60874,3651000
Lower East Side,Within 4 years,2011,Percent,0.56876,SD1
"Riverdale, Kingsbridge, Fordham",Within 4 years,2011,Percent,0.59867,SD10
"Eastchester, Baychester, Co-op City",Within 4 years,2011,Percent,0.55599,SD11
"Crotona Park, Morrisania, Melrose",Within 4 years,2011,Percent,0.39912,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 4 years,2011,Percent,0.73441,SD13
"Williamsburg, Greenpoint",Within 4 years,2011,Percent,0.62714,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 4 years,2011,Percent,0.49021,SD15
Bedford Stuyvesant,Within 4 years,2011,Percent,0.42014,SD16
Crown Heights,Within 4 years,2011,Percent,0.55157,SD17
"East Flatbush, Canarsie",Within 4 years,2011,Percent,0.43474,SD18
East New York,Within 4 years,2011,Percent,0.54043,SD19
"Stuyvesant Town, Upper E. Side",Within 4 years,2011,Percent,0.63551,SD2
"Bay Ridge, Bensonhurst",Within 4 years,2011,Percent,0.62984,SD20
"Gravesend, Coney Island",Within 4 years,2011,Percent,0.5997,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 4 years,2011,Percent,0.72317,SD22
"Brownsville, Ocean Hill",Within 4 years,2011,Percent,0.38343,SD23
"Sunnyside, Woodside, Jackson Hts",Within 4 years,2011,Percent,0.61143,SD24
"Flushing, Whitestone",Within 4 years,2011,Percent,0.60114,SD25
"Bayside, Douglaston, Little Neck",Within 4 years,2011,Percent,0.76896,SD26
"Jamaica, Howard Beach, Rockaways",Within 4 years,2011,Percent,0.5472,SD27
"Jamaica, Forest Hills",Within 4 years,2011,Percent,0.70895,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2011,Percent,0.57101,SD29
Upper West Side,Within 4 years,2011,Percent,0.62495,SD3
"Long Island City, Astoria",Within 4 years,2011,Percent,0.62819,SD30
Staten Island,Within 4 years,2011,Percent,0.72138,SD31
Bushwick,Within 4 years,2011,Percent,0.47586,SD32
East Harlem,Within 4 years,2011,Percent,0.63797,SD4
Central Harlem,Within 4 years,2011,Percent,0.61593,SD5
Washington Heights,Within 4 years,2011,Percent,0.61034,SD6
Mott Haven,Within 4 years,2011,Percent,0.50127,SD7
"Hunts Point, Port Morris",Within 4 years,2011,Percent,0.43954,SD8
"East Tremont, Morris Heights",Within 4 years,2011,Percent,0.55984,SD9
Bronx,Within 6 years,2011,Percent,0.6554,36005
Brooklyn,Within 6 years,2011,Percent,0.69944,36047
Manhattan,Within 6 years,2011,Percent,0.73949,36061
Queens,Within 6 years,2011,Percent,0.72355,36081
Staten Island,Within 6 years,2011,Percent,0.76374,36085
New York City,Within 6 years,2011,Percent,0.70873,3651000
Lower East Side,Within 6 years,2011,Percent,0.74396,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2011,Percent,0.70108,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2011,Percent,0.68458,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2011,Percent,0.63879,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2011,Percent,0.85918,SD13
"Williamsburg, Greenpoint",Within 6 years,2011,Percent,0.74904,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2011,Percent,0.69488,SD15
Bedford Stuyvesant,Within 6 years,2011,Percent,0.57684,SD16
Crown Heights,Within 6 years,2011,Percent,0.73946,SD17
"East Flatbush, Canarsie",Within 6 years,2011,Percent,0.47948,SD18
East New York,Within 6 years,2011,Percent,0.60706,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2011,Percent,0.74657,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2011,Percent,0.7059,SD20
"Gravesend, Coney Island",Within 6 years,2011,Percent,0.73853,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2011,Percent,0.78001,SD22
"Brownsville, Ocean Hill",Within 6 years,2011,Percent,0.64437,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2011,Percent,0.73988,SD24
"Flushing, Whitestone",Within 6 years,2011,Percent,0.66868,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2011,Percent,0.85559,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2011,Percent,0.59012,SD27
"Jamaica, Forest Hills",Within 6 years,2011,Percent,0.79945,SD28
"Queens Village, Rosedale, Hollis",Within 6 years,2011,Percent,0.73325,SD29
Upper West Side,Within 6 years,2011,Percent,0.75132,SD3
"Long Island City, Astoria",Within 6 years,2011,Percent,0.68938,SD30
Staten Island,Within 6 years,2011,Percent,0.76923,SD31
Bushwick,Within 6 years,2011,Percent,0.60382,SD32
East Harlem,Within 6 years,2011,Percent,0.77503,SD4
Central Harlem,Within 6 years,2011,Percent,0.73333,SD5
Washington Heights,Within 6 years,2011,Percent,0.79511,SD6
Mott Haven,Within 6 years,2011,Percent,0.63221,SD7
"Hunts Point, Port Morris",Within 6 years,2011,Percent,0.57613,SD8
"East Tremont, Morris Heights",Within 6 years,2011,Percent,0.72066,SD9
Battery Park/Tribeca,Within 4 years,2012,Percent,0.78475,101
Greenwich Village,Within 4 years,2012,Percent,0.49905,102
Lower East Side,Within 4 years,2012,Percent,0.63042,103
Chelsea/Clinton,Within 4 years,2012,Percent,0.68191,104
Midtown Business District,Within 4 years,2012,Percent,0.7049,105
Murray Hill/Stuyvesant,Within 4 years,2012,Percent,0.65221,106
Upper West Side,Within 4 years,2012,Percent,0.68277,107
Upper East Side,Within 4 years,2012,Percent,0.75045,108
Manhattanville,Within 4 years,2012,Percent,0.714,109
Central Harlem,Within 4 years,2012,Percent,0.60567,110
East Harlem,Within 4 years,2012,Percent,0.72642,111
Washington Heights,Within 4 years,2012,Percent,0.60832,112
Mott Haven,Within 4 years,2012,Percent,0.56143,201
Hunts Point,Within 4 years,2012,Percent,0.32716,202
Morrisania,Within 4 years,2012,Percent,0.64104,203
Concourse/Highbridge,Within 4 years,2012,Percent,0.53325,204
University Heights,Within 4 years,2012,Percent,0.77083,205
East Tremont,Within 4 years,2012,Percent,0.52318,206
Bedford Park,Within 4 years,2012,Percent,0.626,207
Riverdale,Within 4 years,2012,Percent,0.72784,208
Unionport/Soundview,Within 4 years,2012,Percent,0.43567,209
Throgs Neck,Within 4 years,2012,Percent,0.53551,210
Pelham Parkway,Within 4 years,2012,Percent,0.70264,211
Williamsbridge,Within 4 years,2012,Percent,0.61073,212
Williamsburg/Greenpoint,Within 4 years,2012,Percent,0.67107,301
Fort Greene/Brooklyn Hts,Within 4 years,2012,Percent,0.81873,302
Bedford Stuyvesant,Within 4 years,2012,Percent,0.39657,303
Bushwick,Within 4 years,2012,Percent,0.44951,304
East New York,Within 4 years,2012,Percent,0.56694,305
Park Slope,Within 4 years,2012,Percent,0.6092,306
Sunset Park,Within 4 years,2012,Percent,0.89552,307
Crown Heights North,Within 4 years,2012,Percent,0.66176,308
Crown Heights South,Within 4 years,2012,Percent,0.65913,309
Bay Ridge,Within 4 years,2012,Percent,0.65833,310
Bensonhurst,Within 4 years,2012,Percent,0.69955,311
Borough Park,Within 4 years,2012,Percent,0.51492,312
Coney Island,Within 4 years,2012,Percent,0.60843,313
Flatbush/Midwood,Within 4 years,2012,Percent,0.77033,314
Sheepshead Bay,Within 4 years,2012,Percent,0.63549,315
Brownsville,Within 4 years,2012,Percent,0.35636,316
East Flatbush,Within 4 years,2012,Percent,0.58678,317
Canarsie,Within 4 years,2012,Percent,0.58744,318
Astoria,Within 4 years,2012,Percent,0.63202,401
Sunnyside/Woodside,Within 4 years,2012,Percent,0.74987,402
Jackson Heights,Within 4 years,2012,Percent,0.6679,403
Elmhurst/Corona,Within 4 years,2012,Percent,0.60667,404
Ridgewood/Glendale,Within 4 years,2012,Percent,0.48645,405
Rego Park/Forest Hills,Within 4 years,2012,Percent,0.82996,406
Flushing,Within 4 years,2012,Percent,0.52321,407
Fresh Meadows/Briarwood,Within 4 years,2012,Percent,0.71751,408
Woodhaven,Within 4 years,2012,Percent,0.61149,409
Howard Beach,Within 4 years,2012,Percent,0.52655,410
Bayside,Within 4 years,2012,Percent,0.84613,411
Jamaica/St. Albans,Within 4 years,2012,Percent,0.5591,412
Queens Village,Within 4 years,2012,Percent,0.59339,413
The Rockaways,Within 4 years,2012,Percent,0.80916,414
St. George,Within 4 years,2012,Percent,0.63551,501
South Beach,Within 4 years,2012,Percent,0.7959,502
Tottenville,Within 4 years,2012,Percent,0.81503,503
Bronx,Within 4 years,2012,Percent,0.50715,36005
Brooklyn,Within 4 years,2012,Percent,0.60144,36047
Manhattan,Within 4 years,2012,Percent,0.62772,36061
Queens,Within 4 years,2012,Percent,0.63586,36081
Staten Island,Within 4 years,2012,Percent,0.72006,36085
New York City,Within 4 years,2012,Percent,0.60429,3651000
Lower East Side,Within 4 years,2012,Percent,0.56649,SD1
"Riverdale, Kingsbridge, Fordham",Within 4 years,2012,Percent,0.56749,SD10
"Eastchester, Baychester, Co-op City",Within 4 years,2012,Percent,0.54439,SD11
"Crotona Park, Morrisania, Melrose",Within 4 years,2012,Percent,0.38437,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 4 years,2012,Percent,0.73643,SD13
"Williamsburg, Greenpoint",Within 4 years,2012,Percent,0.64129,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 4 years,2012,Percent,0.5329,SD15
Bedford Stuyvesant,Within 4 years,2012,Percent,0.35628,SD16
Crown Heights,Within 4 years,2012,Percent,0.58987,SD17
"East Flatbush, Canarsie",Within 4 years,2012,Percent,0.5164,SD18
East New York,Within 4 years,2012,Percent,0.53341,SD19
"Stuyvesant Town, Upper E. Side",Within 4 years,2012,Percent,0.64184,SD2
"Bay Ridge, Bensonhurst",Within 4 years,2012,Percent,0.61619,SD20
"Gravesend, Coney Island",Within 4 years,2012,Percent,0.63597,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 4 years,2012,Percent,0.68029,SD22
"Brownsville, Ocean Hill",Within 4 years,2012,Percent,0.31496,SD23
"Sunnyside, Woodside, Jackson Hts",Within 4 years,2012,Percent,0.59071,SD24
"Flushing, Whitestone",Within 4 years,2012,Percent,0.59216,SD25
"Bayside, Douglaston, Little Neck",Within 4 years,2012,Percent,0.77591,SD26
"Jamaica, Howard Beach, Rockaways",Within 4 years,2012,Percent,0.52158,SD27
"Jamaica, Forest Hills",Within 4 years,2012,Percent,0.70226,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2012,Percent,0.54343,SD29
Upper West Side,Within 4 years,2012,Percent,0.63755,SD3
"Long Island City, Astoria",Within 4 years,2012,Percent,0.62447,SD30
Staten Island,Within 4 years,2012,Percent,0.72006,SD31
Bushwick,Within 4 years,2012,Percent,0.43059,SD32
East Harlem,Within 4 years,2012,Percent,0.68317,SD4
Central Harlem,Within 4 years,2012,Percent,0.53988,SD5
Washington Heights,Within 4 years,2012,Percent,0.58548,SD6
Mott Haven,Within 4 years,2012,Percent,0.48887,SD7
"Hunts Point, Port Morris",Within 4 years,2012,Percent,0.40261,SD8
"East Tremont, Morris Heights",Within 4 years,2012,Percent,0.5566,SD9
Bronx,Within 6 years,2012,Percent,0.66873,36005
Brooklyn,Within 6 years,2012,Percent,0.72435,36047
Manhattan,Within 6 years,2012,Percent,0.75318,36061
Queens,Within 6 years,2012,Percent,0.75861,36081
Staten Island,Within 6 years,2012,Percent,0.79184,36085
New York City,Within 6 years,2012,Percent,0.73189,3651000
Lower East Side,Within 6 years,2012,Percent,0.68571,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2012,Percent,0.71256,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2012,Percent,0.68942,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2012,Percent,0.58097,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2012,Percent,0.83673,SD13
"Williamsburg, Greenpoint",Within 6 years,2012,Percent,0.76035,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2012,Percent,0.69438,SD15
Bedford Stuyvesant,Within 6 years,2012,Percent,0.55486,SD16
Crown Heights,Within 6 years,2012,Percent,0.74809,SD17
"East Flatbush, Canarsie",Within 6 years,2012,Percent,0.51129,SD18
East New York,Within 6 years,2012,Percent,0.65735,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2012,Percent,0.75491,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2012,Percent,0.7187,SD20
"Gravesend, Coney Island",Within 6 years,2012,Percent,0.74291,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2012,Percent,0.82462,SD22
"Brownsville, Ocean Hill",Within 6 years,2012,Percent,0.56628,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2012,Percent,0.7322,SD24
"Flushing, Whitestone",Within 6 years,2012,Percent,0.70814,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2012,Percent,0.87,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2012,Percent,0.64822,SD27
"Jamaica, Forest Hills",Within 6 years,2012,Percent,0.80789,SD28
"Queens Village, Rosedale, Hollis",Within 6 years,2012,Percent,0.72883,SD29
Upper West Side,Within 6 years,2012,Percent,0.75445,SD3
"Long Island City, Astoria",Within 6 years,2012,Percent,0.73234,SD30
Staten Island,Within 6 years,2012,Percent,0.79184,SD31
Bushwick,Within 6 years,2012,Percent,0.57566,SD32
East Harlem,Within 6 years,2012,Percent,0.78947,SD4
Central Harlem,Within 6 years,2012,Percent,0.74155,SD5
Washington Heights,Within 6 years,2012,Percent,0.78006,SD6
Mott Haven,Within 6 years,2012,Percent,0.63152,SD7
"Hunts Point, Port Morris",Within 6 years,2012,Percent,0.60069,SD8
"East Tremont, Morris Heights",Within 6 years,2012,Percent,0.73129,SD9
Battery Park/Tribeca,Within 4 years,2013,Percent,0.75712,101
Greenwich Village,Within 4 years,2013,Percent,0.53151,102
Lower East Side,Within 4 years,2013,Percent,0.61355,103
Chelsea/Clinton,Within 4 years,2013,Percent,0.68428,104
Midtown Business District,Within 4 years,2013,Percent,0.68996,105
Murray Hill/Stuyvesant,Within 4 years,2013,Percent,0.64101,106
Upper West Side,Within 4 years,2013,Percent,0.64949,107
Upper East Side,Within 4 years,2013,Percent,0.73724,108
Manhattanville,Within 4 years,2013,Percent,0.70702,109
Central Harlem,Within 4 years,2013,Percent,0.60771,110
East Harlem,Within 4 years,2013,Percent,0.71007,111
Washington Heights,Within 4 years,2013,Percent,0.56004,112
Mott Haven,Within 4 years,2013,Percent,0.47978,201
Hunts Point,Within 4 years,2013,Percent,0.35581,202
Morrisania,Within 4 years,2013,Percent,0.58689,203
Concourse/Highbridge,Within 4 years,2013,Percent,0.54234,204
University Heights,Within 4 years,2013,Percent,0.80247,205
East Tremont,Within 4 years,2013,Percent,0.5322,206
Bedford Park,Within 4 years,2013,Percent,0.65975,207
Riverdale,Within 4 years,2013,Percent,0.69353,208
Unionport/Soundview,Within 4 years,2013,Percent,0.43311,209
Throgs Neck,Within 4 years,2013,Percent,0.53862,210
Pelham Parkway,Within 4 years,2013,Percent,0.708,211
Williamsbridge,Within 4 years,2013,Percent,0.64339,212
Williamsburg/Greenpoint,Within 4 years,2013,Percent,0.58591,301
Fort Greene/Brooklyn Hts,Within 4 years,2013,Percent,0.82802,302
Bedford Stuyvesant,Within 4 years,2013,Percent,0.42063,303
Bushwick,Within 4 years,2013,Percent,0.49655,304
East New York,Within 4 years,2013,Percent,0.51264,305
Park Slope,Within 4 years,2013,Percent,0.62117,306
Sunset Park,Within 4 years,2013,Percent,0.65461,307
Crown Heights North,Within 4 years,2013,Percent,0.6646,308
Crown Heights South,Within 4 years,2013,Percent,0.6558,309
Bay Ridge,Within 4 years,2013,Percent,0.67076,310
Bensonhurst,Within 4 years,2013,Percent,0.64809,311
Borough Park,Within 4 years,2013,Percent,0.45322,312
Coney Island,Within 4 years,2013,Percent,0.63821,313
Flatbush/Midwood,Within 4 years,2013,Percent,0.74756,314
Sheepshead Bay,Within 4 years,2013,Percent,0.62374,315
Brownsville,Within 4 years,2013,Percent,0.34056,316
East Flatbush,Within 4 years,2013,Percent,0.51389,317
Canarsie,Within 4 years,2013,Percent,0.56761,318
Astoria,Within 4 years,2013,Percent,0.64585,401
Sunnyside/Woodside,Within 4 years,2013,Percent,0.77765,402
Jackson Heights,Within 4 years,2013,Percent,0.66319,403
Elmhurst/Corona,Within 4 years,2013,Percent,0.53241,404
Ridgewood/Glendale,Within 4 years,2013,Percent,0.50997,405
Rego Park/Forest Hills,Within 4 years,2013,Percent,0.82534,406
Flushing,Within 4 years,2013,Percent,0.48121,407
Fresh Meadows/Briarwood,Within 4 years,2013,Percent,0.72111,408
Woodhaven,Within 4 years,2013,Percent,0.6179,409
Howard Beach,Within 4 years,2013,Percent,0.50768,410
Bayside,Within 4 years,2013,Percent,0.83719,411
Jamaica/St. Albans,Within 4 years,2013,Percent,0.56364,412
Queens Village,Within 4 years,2013,Percent,0.56498,413
The Rockaways,Within 4 years,2013,Percent,0.68071,414
St. George,Within 4 years,2013,Percent,0.6363,501
South Beach,Within 4 years,2013,Percent,0.79836,502
Tottenville,Within 4 years,2013,Percent,0.80175,503
Bronx,Within 4 years,2013,Percent,0.52347,36005
Brooklyn,Within 4 years,2013,Percent,0.60986,36047
Manhattan,Within 4 years,2013,Percent,0.63354,36061
Queens,Within 4 years,2013,Percent,0.63932,36081
Staten Island,Within 4 years,2013,Percent,0.72815,36085
New York City,Within 4 years,2013,Percent,0.61275,3651000
Lower East Side,Within 4 years,2013,Percent,0.52685,SD1
"Riverdale, Kingsbridge, Fordham",Within 4 years,2013,Percent,0.58792,SD10
"Eastchester, Baychester, Co-op City",Within 4 years,2013,Percent,0.58606,SD11
"Crotona Park, Morrisania, Melrose",Within 4 years,2013,Percent,0.43329,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 4 years,2013,Percent,0.75888,SD13
"Williamsburg, Greenpoint",Within 4 years,2013,Percent,0.56473,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 4 years,2013,Percent,0.60508,SD15
Bedford Stuyvesant,Within 4 years,2013,Percent,0.39402,SD16
Crown Heights,Within 4 years,2013,Percent,0.60148,SD17
"East Flatbush, Canarsie",Within 4 years,2013,Percent,0.50175,SD18
East New York,Within 4 years,2013,Percent,0.51905,SD19
"Stuyvesant Town, Upper E. Side",Within 4 years,2013,Percent,0.64861,SD2
"Bay Ridge, Bensonhurst",Within 4 years,2013,Percent,0.61029,SD20
"Gravesend, Coney Island",Within 4 years,2013,Percent,0.65618,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 4 years,2013,Percent,0.6797,SD22
"Brownsville, Ocean Hill",Within 4 years,2013,Percent,0.33882,SD23
"Sunnyside, Woodside, Jackson Hts",Within 4 years,2013,Percent,0.56631,SD24
"Flushing, Whitestone",Within 4 years,2013,Percent,0.58966,SD25
"Bayside, Douglaston, Little Neck",Within 4 years,2013,Percent,0.76914,SD26
"Jamaica, Howard Beach, Rockaways",Within 4 years,2013,Percent,0.51213,SD27
"Jamaica, Forest Hills",Within 4 years,2013,Percent,0.73032,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2013,Percent,0.58909,SD29
Upper West Side,Within 4 years,2013,Percent,0.65193,SD3
"Long Island City, Astoria",Within 4 years,2013,Percent,0.64248,SD30
Staten Island,Within 4 years,2013,Percent,0.72815,SD31
Bushwick,Within 4 years,2013,Percent,0.47809,SD32
East Harlem,Within 4 years,2013,Percent,0.7251,SD4
Central Harlem,Within 4 years,2013,Percent,0.56957,SD5
Washington Heights,Within 4 years,2013,Percent,0.56899,SD6
Mott Haven,Within 4 years,2013,Percent,0.44973,SD7
"Hunts Point, Port Morris",Within 4 years,2013,Percent,0.41869,SD8
"East Tremont, Morris Heights",Within 4 years,2013,Percent,0.56144,SD9
Bronx,Within 6 years,2013,Percent,0.66055,36005
Brooklyn,Within 6 years,2013,Percent,0.73074,36047
Manhattan,Within 6 years,2013,Percent,0.73945,36061
Queens,Within 6 years,2013,Percent,0.75999,36081
Staten Island,Within 6 years,2013,Percent,0.79544,36085
New York City,Within 6 years,2013,Percent,0.72978,3651000
Lower East Side,Within 6 years,2013,Percent,0.68722,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2013,Percent,0.71746,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2013,Percent,0.67211,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2013,Percent,0.55654,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2013,Percent,0.84347,SD13
"Williamsburg, Greenpoint",Within 6 years,2013,Percent,0.76301,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2013,Percent,0.66448,SD15
Bedford Stuyvesant,Within 6 years,2013,Percent,0.58874,SD16
Crown Heights,Within 6 years,2013,Percent,0.71528,SD17
"East Flatbush, Canarsie",Within 6 years,2013,Percent,0.59646,SD18
East New York,Within 6 years,2013,Percent,0.69685,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2013,Percent,0.74728,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2013,Percent,0.73675,SD20
"Gravesend, Coney Island",Within 6 years,2013,Percent,0.74522,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2013,Percent,0.82604,SD22
"Brownsville, Ocean Hill",Within 6 years,2013,Percent,0.5625,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2013,Percent,0.68933,SD24
"Flushing, Whitestone",Within 6 years,2013,Percent,0.7419,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2013,Percent,0.8691,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2013,Percent,0.69003,SD27
"Jamaica, Forest Hills",Within 6 years,2013,Percent,0.80126,SD28
"Queens Village, Rosedale, Hollis",Within 6 years,2013,Percent,0.72069,SD29
Upper West Side,Within 6 years,2013,Percent,0.72616,SD3
"Long Island City, Astoria",Within 6 years,2013,Percent,0.74366,SD30
Staten Island,Within 6 years,2013,Percent,0.79544,SD31
Bushwick,Within 6 years,2013,Percent,0.58315,SD32
East Harlem,Within 6 years,2013,Percent,0.72941,SD4
Central Harlem,Within 6 years,2013,Percent,0.73962,SD5
Washington Heights,Within 6 years,2013,Percent,0.76353,SD6
Mott Haven,Within 6 years,2013,Percent,0.64488,SD7
"Hunts Point, Port Morris",Within 6 years,2013,Percent,0.59668,SD8
