"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Throgs Neck,Households,2011,Number,10004,210
Pelham Parkway,Households,2011,Number,14231,211
Williamsbridge,Households,2011,Number,20078,212
Williamsburg/Greenpoint,Households,2011,Number,23204,301
Fort Greene/Brooklyn Hts,Households,2011,Number,9287,302
Bedford Stuyvesant,Households,2011,Number,31145,303
Bushwick,Households,2011,Number,23501,304
East New York,Households,2011,Number,37866,305
Park Slope,Households,2011,Number,7281,306
Sunset Park,Households,2011,Number,16822,307
Crown Heights North,Households,2011,Number,16496,308
Crown Heights South,Households,2011,Number,14998,309
Bay Ridge,Households,2011,Number,10309,310
Bensonhurst,Households,2011,Number,22948,311
Borough Park,Households,2011,Number,23524,312
Coney Island,Households,2011,Number,21950,313
Flatbush/Midwood,Households,2011,Number,22909,314
Sheepshead Bay,Households,2011,Number,17865,315
Brownsville,Households,2011,Number,21164,316
East Flatbush,Households,2011,Number,21566,317
Canarsie,Households,2011,Number,17364,318
Astoria,Households,2011,Number,12193,401
Sunnyside/Woodside,Households,2011,Number,6729,402
Jackson Heights,Households,2011,Number,14970,403
Elmhurst/Corona,Households,2011,Number,14639,404
Ridgewood/Glendale,Households,2011,Number,10417,405
Rego Park/Forest Hills,Households,2011,Number,5659,406
Flushing,Households,2011,Number,13068,407
Fresh Meadows/Briarwood,Households,2011,Number,8717,408
Woodhaven,Households,2011,Number,11339,409
Howard Beach,Households,2011,Number,7721,410
Bayside,Households,2011,Number,3066,411
Jamaica/St. Albans,Households,2011,Number,24010,412
Queens Village,Households,2011,Number,10925,413
The Rockaways,Households,2011,Number,13689,414
St. George,Households,2011,Number,22581,501
South Beach,Households,2011,Number,9225,502
Tottenville,Households,2011,Number,6703,503
Bronx,Households,2011,Number,263155,36005
Brooklyn,Households,2011,Number,360199,36047
Manhattan,Households,2011,Number,185182,36061
Queens,Households,2011,Number,157142,36081
Staten Island,Households,2011,Number,38509,36085
New York City,Households,2011,Number,1004188,3651000
Battery Park/Tribeca,Households,2001,Percent,0.05723,101
Battery Park/Tribeca,Households,2002,Percent,0.05907,101
Greenwich Village,Households,2001,Percent,0.04049,102
Greenwich Village,Households,2002,Percent,0.04169,102
Lower East Side,Households,2001,Percent,0.12566,103
Lower East Side,Households,2002,Percent,0.14658,103
Chelsea/Clinton,Households,2001,Percent,0.07461,104
Chelsea/Clinton,Households,2002,Percent,0.08084,104
Midtown Business District,Households,2001,Percent,0.0832,105
Midtown Business District,Households,2002,Percent,0.08626,105
Murray Hill/Stuyvesant,Households,2001,Percent,0.01867,106
Murray Hill/Stuyvesant,Households,2002,Percent,0.01999,106
Upper West Side,Households,2001,Percent,0.06381,107
Upper West Side,Households,2002,Percent,0.0656,107
Upper East Side,Households,2001,Percent,0.01359,108
Upper East Side,Households,2002,Percent,0.01518,108
Manhattanville,Households,2001,Percent,0.22368,109
Manhattanville,Households,2002,Percent,0.22652,109
Central Harlem,Households,2001,Percent,0.23457,110
Central Harlem,Households,2002,Percent,0.23223,110
East Harlem,Households,2001,Percent,0.24059,111
East Harlem,Households,2002,Percent,0.2721,111
Washington Heights,Households,2001,Percent,0.29221,112
Washington Heights,Households,2002,Percent,0.29378,112
Mott Haven,Households,2001,Percent,0.36289,201
Mott Haven,Households,2002,Percent,0.37735,201
Hunts Point,Households,2001,Percent,0.37388,202
Hunts Point,Households,2002,Percent,0.38793,202
Morrisania,Households,2001,Percent,0.37464,203
Morrisania,Households,2002,Percent,0.38526,203
Concourse/Highbridge,Households,2001,Percent,0.31948,204
Concourse/Highbridge,Households,2002,Percent,0.32951,204
University Heights,Households,2001,Percent,0.35455,205
University Heights,Households,2002,Percent,0.36482,205
East Tremont,Households,2001,Percent,0.36815,206
East Tremont,Households,2002,Percent,0.3781,206
Bedford Park,Households,2001,Percent,0.23764,207
Bedford Park,Households,2002,Percent,0.24272,207
Riverdale,Households,2001,Percent,0.08637,208
Riverdale,Households,2002,Percent,0.08873,208
Unionport/Soundview,Households,2001,Percent,0.17414,209
Unionport/Soundview,Households,2002,Percent,0.21501,209
Throgs Neck,Households,2001,Percent,0.0555,210
Throgs Neck,Households,2002,Percent,0.06997,210
Pelham Parkway,Households,2001,Percent,0.10324,211
Pelham Parkway,Households,2002,Percent,0.11761,211
Williamsbridge,Households,2001,Percent,0.10384,212
Williamsbridge,Households,2002,Percent,0.12181,212
Williamsburg/Greenpoint,Households,2001,Percent,0.21626,301
Williamsburg/Greenpoint,Households,2002,Percent,0.21887,301
Fort Greene/Brooklyn Hts,Households,2001,Percent,0.11594,302
Fort Greene/Brooklyn Hts,Households,2002,Percent,0.12037,302
Bedford Stuyvesant,Households,2001,Percent,0.27389,303
Bedford Stuyvesant,Households,2002,Percent,0.27839,303
Bushwick,Households,2001,Percent,0.34446,304
Bushwick,Households,2002,Percent,0.35356,304
East New York,Households,2001,Percent,0.267,305
East New York,Households,2002,Percent,0.27762,305
Park Slope,Households,2001,Percent,0.08404,306
Park Slope,Households,2002,Percent,0.0855,306
Sunset Park,Households,2001,Percent,0.17712,307
Sunset Park,Households,2002,Percent,0.18505,307
Crown Heights North,Households,2001,Percent,0.19954,308
Crown Heights North,Households,2002,Percent,0.20847,308
Crown Heights South,Households,2001,Percent,0.15253,309
Crown Heights South,Households,2002,Percent,0.16192,309
Bay Ridge,Households,2001,Percent,0.07191,310
Bay Ridge,Households,2002,Percent,0.07385,310
Bensonhurst,Households,2001,Percent,0.16508,311
Bensonhurst,Households,2002,Percent,0.16625,311
Borough Park,Households,2001,Percent,0.195,312
Borough Park,Households,2002,Percent,0.20214,312
Coney Island,Households,2001,Percent,0.29961,313
Coney Island,Households,2002,Percent,0.30157,313
Flatbush/Midwood,Households,2001,Percent,0.19635,314
Flatbush/Midwood,Households,2002,Percent,0.20183,314
Sheepshead Bay,Households,2001,Percent,0.16218,315
Sheepshead Bay,Households,2002,Percent,0.16207,315
Brownsville,Households,2001,Percent,0.29981,316
Brownsville,Households,2002,Percent,0.30687,316
East Flatbush,Households,2001,Percent,0.13181,317
East Flatbush,Households,2002,Percent,0.14077,317
Canarsie,Households,2001,Percent,0.0797,318
Canarsie,Households,2002,Percent,0.08499,318
Astoria,Households,2001,Percent,0.08047,401
Astoria,Households,2002,Percent,0.08296,401
Sunnyside/Woodside,Households,2001,Percent,0.07507,402
Sunnyside/Woodside,Households,2002,Percent,0.07769,402
Jackson Heights,Households,2001,Percent,0.11695,403
Jackson Heights,Households,2002,Percent,0.12068,403
Elmhurst/Corona,Households,2001,Percent,0.11851,404
Elmhurst/Corona,Households,2002,Percent,0.12293,404
Ridgewood/Glendale,Households,2001,Percent,0.07491,405
Ridgewood/Glendale,Households,2002,Percent,0.07525,405
Rego Park/Forest Hills,Households,2001,Percent,0.07787,406
Rego Park/Forest Hills,Households,2002,Percent,0.07897,406
Flushing,Households,2001,Percent,0.06875,407
Flushing,Households,2002,Percent,0.0711,407
Fresh Meadows/Briarwood,Households,2001,Percent,0.08371,408
Fresh Meadows/Briarwood,Households,2002,Percent,0.08561,408
Woodhaven,Households,2001,Percent,0.10311,409
Woodhaven,Households,2002,Percent,0.10364,409
Howard Beach,Households,2001,Percent,0.07484,410
Howard Beach,Households,2002,Percent,0.07646,410
Bayside,Households,2001,Percent,0.02567,411
Bayside,Households,2002,Percent,0.02745,411
Jamaica/St. Albans,Households,2001,Percent,0.13827,412
Jamaica/St. Albans,Households,2002,Percent,0.14085,412
Queens Village,Households,2001,Percent,0.06704,413
Queens Village,Households,2002,Percent,0.0694,413
The Rockaways,Households,2001,Percent,0.18941,414
The Rockaways,Households,2002,Percent,0.19689,414
St. George,Households,2001,Percent,0.15203,501
St. George,Households,2002,Percent,0.19295,501
South Beach,Households,2001,Percent,0.11797,502
South Beach,Households,2002,Percent,0.1473,502
Tottenville,Households,2001,Percent,0.03775,503
Tottenville,Households,2002,Percent,0.04968,503
Bronx,Households,2001,Percent,0.21451,36005
Bronx,Households,2002,Percent,0.22953,36005
Brooklyn,Households,2001,Percent,0.18271,36047
Brooklyn,Households,2002,Percent,0.18784,36047
Manhattan,Households,2001,Percent,0.1068,36061
Manhattan,Households,2002,Percent,0.11213,36061
Queens,Households,2001,Percent,0.09049,36081
Queens,Households,2002,Percent,0.09291,36081
Staten Island,Households,2001,Percent,0.00855,36085
Staten Island,Households,2002,Percent,0.01096,36085
New York City,Households,2001,Percent,0.13857,3651000
New York City,Households,2002,Percent,0.14508,3651000
Battery Park/Tribeca,Households,2005,Percent,0.04744,101
Greenwich Village,Households,2005,Percent,0.05822,102
Lower East Side,Households,2005,Percent,0.21802,103
Chelsea/Clinton,Households,2005,Percent,0.15767,104
Midtown Business District,Households,2005,Percent,0.09024,105
Murray Hill/Stuyvesant,Households,2005,Percent,0.02679,106
Upper West Side,Households,2005,Percent,0.08764,107
Upper East Side,Households,2005,Percent,0.02173,108
Manhattanville,Households,2005,Percent,0.25489,109
Central Harlem,Households,2005,Percent,0.29621,110
East Harlem,Households,2005,Percent,0.38088,111
Washington Heights,Households,2005,Percent,0.33196,112
Mott Haven,Households,2005,Percent,0.49176,201
Hunts Point,Households,2005,Percent,0.44274,202
Morrisania,Households,2005,Percent,0.47385,203
Concourse/Highbridge,Households,2005,Percent,0.45774,204
University Heights,Households,2005,Percent,0.43674,205
East Tremont,Households,2005,Percent,0.4733,206
Bedford Park,Households,2005,Percent,0.33793,207
Riverdale,Households,2005,Percent,0.13048,208
Unionport/Soundview,Households,2005,Percent,0.25844,209
Throgs Neck,Households,2005,Percent,0.11775,210
Pelham Parkway,Households,2005,Percent,0.15438,211
Williamsbridge,Households,2005,Percent,0.19986,212
Williamsburg/Greenpoint,Households,2005,Percent,0.29864,301
Fort Greene/Brooklyn Hts,Households,2005,Percent,0.14095,302
Bedford Stuyvesant,Households,2005,Percent,0.43613,303
Bushwick,Households,2005,Percent,0.40112,304
East New York,Households,2005,Percent,0.43101,305
Park Slope,Households,2005,Percent,0.1042,306
Sunset Park,Households,2005,Percent,0.21567,307
Crown Heights North,Households,2005,Percent,0.2172,308
Crown Heights South,Households,2005,Percent,0.20644,309
Bay Ridge,Households,2005,Percent,0.10428,310
Bensonhurst,Households,2005,Percent,0.19918,311
Borough Park,Households,2005,Percent,0.28679,312
Coney Island,Households,2005,Percent,0.314,313
Flatbush/Midwood,Households,2005,Percent,0.23703,314
Sheepshead Bay,Households,2005,Percent,0.21222,315
Brownsville,Households,2005,Percent,0.29195,316
East Flatbush,Households,2005,Percent,0.21274,317
Canarsie,Households,2005,Percent,0.12386,318
Astoria,Households,2005,Percent,0.11182,401
Sunnyside/Woodside,Households,2005,Percent,0.08385,402
Jackson Heights,Households,2005,Percent,0.14865,403
Elmhurst/Corona,Households,2005,Percent,0.18946,404
Ridgewood/Glendale,Households,2005,Percent,0.10254,405
Rego Park/Forest Hills,Households,2005,Percent,0.08754,406
Flushing,Households,2005,Percent,0.08773,407
Fresh Meadows/Briarwood,Households,2005,Percent,0.10187,408
Woodhaven,Households,2005,Percent,0.13583,409
Howard Beach,Households,2005,Percent,0.10181,410
Bayside,Households,2005,Percent,0.04196,411
Jamaica/St. Albans,Households,2005,Percent,0.1832,412
Queens Village,Households,2005,Percent,0.08918,413
The Rockaways,Households,2005,Percent,0.22412,414
St. George,Households,2005,Percent,0.15978,501
South Beach,Households,2005,Percent,0.07301,502
Tottenville,Households,2005,Percent,0.04748,503
Bronx,Households,2005,Percent,0.30783,36005
Brooklyn,Households,2005,Percent,0.2403,36047
Manhattan,Households,2005,Percent,0.15218,36061
Queens,Households,2005,Percent,0.11871,36081
Staten Island,Households,2005,Percent,0.09676,36085
New York City,Households,2005,Percent,0.19035,3651000
Battery Park/Tribeca,Households,2006,Percent,0.04229,101
Greenwich Village,Households,2006,Percent,0.05247,102
Lower East Side,Households,2006,Percent,0.20385,103
Chelsea/Clinton,Households,2006,Percent,0.15468,104
Midtown Business District,Households,2006,Percent,0.0963,105
Murray Hill/Stuyvesant,Households,2006,Percent,0.02778,106
Upper West Side,Households,2006,Percent,0.08139,107
Upper East Side,Households,2006,Percent,0.02187,108
Manhattanville,Households,2006,Percent,0.25298,109
Central Harlem,Households,2006,Percent,0.28486,110
East Harlem,Households,2006,Percent,0.37163,111
Washington Heights,Households,2006,Percent,0.35229,112
Mott Haven,Households,2006,Percent,0.5534,201
Hunts Point,Households,2006,Percent,0.50368,202
Morrisania,Households,2006,Percent,0.45421,203
Concourse/Highbridge,Households,2006,Percent,0.4617,204
University Heights,Households,2006,Percent,0.4622,205
East Tremont,Households,2006,Percent,0.4633,206
Bedford Park,Households,2006,Percent,0.34755,207
Riverdale,Households,2006,Percent,0.1225,208
Unionport/Soundview,Households,2006,Percent,0.25256,209
Throgs Neck,Households,2006,Percent,0.11649,210
Pelham Parkway,Households,2006,Percent,0.163,211
Williamsbridge,Households,2006,Percent,0.21306,212
Williamsburg/Greenpoint,Households,2006,Percent,0.29007,301
Fort Greene/Brooklyn Hts,Households,2006,Percent,0.1424,302
Bedford Stuyvesant,Households,2006,Percent,0.47888,303
Bushwick,Households,2006,Percent,0.40877,304
East New York,Households,2006,Percent,0.43364,305
Park Slope,Households,2006,Percent,0.10617,306
Sunset Park,Households,2006,Percent,0.20816,307
Crown Heights North,Households,2006,Percent,0.21773,308
Crown Heights South,Households,2006,Percent,0.20465,309
Bay Ridge,Households,2006,Percent,0.1123,310
Bensonhurst,Households,2006,Percent,0.21791,311
Borough Park,Households,2006,Percent,0.29761,312
Coney Island,Households,2006,Percent,0.34782,313
Flatbush/Midwood,Households,2006,Percent,0.23932,314
Sheepshead Bay,Households,2006,Percent,0.20401,315
Brownsville,Households,2006,Percent,0.31093,316
East Flatbush,Households,2006,Percent,0.22288,317
Canarsie,Households,2006,Percent,0.13127,318
Astoria,Households,2006,Percent,0.11476,401
Sunnyside/Woodside,Households,2006,Percent,0.09248,402
Jackson Heights,Households,2006,Percent,0.1721,403
Elmhurst/Corona,Households,2006,Percent,0.20524,404
Ridgewood/Glendale,Households,2006,Percent,0.10341,405
Rego Park/Forest Hills,Households,2006,Percent,0.09379,406
Flushing,Households,2006,Percent,0.09476,407
Fresh Meadows/Briarwood,Households,2006,Percent,0.10548,408
Woodhaven,Households,2006,Percent,0.144,409
Howard Beach,Households,2006,Percent,0.10495,410
Bayside,Households,2006,Percent,0.03925,411
Jamaica/St. Albans,Households,2006,Percent,0.19118,412
Queens Village,Households,2006,Percent,0.08958,413
The Rockaways,Households,2006,Percent,0.22856,414
St. George,Households,2006,Percent,0.16462,501
South Beach,Households,2006,Percent,0.08541,502
Tottenville,Households,2006,Percent,0.04476,503
Bronx,Households,2006,Percent,0.31268,36005
Brooklyn,Households,2006,Percent,0.24792,36047
Manhattan,Households,2006,Percent,0.14911,36061
Queens,Households,2006,Percent,0.12407,36081
Staten Island,Households,2006,Percent,0.09997,36085
New York City,Households,2006,Percent,0.19401,3651000
Battery Park/Tribeca,Households,2007,Percent,0.04717,101
Greenwich Village,Households,2007,Percent,0.05806,102
Lower East Side,Households,2007,Percent,0.22099,103
Chelsea/Clinton,Households,2007,Percent,0.16298,104
Midtown Business District,Households,2007,Percent,0.10437,105
Murray Hill/Stuyvesant,Households,2007,Percent,0.02801,106
Upper West Side,Households,2007,Percent,0.08326,107
Upper East Side,Households,2007,Percent,0.02234,108
Manhattanville,Households,2007,Percent,0.24449,109
Central Harlem,Households,2007,Percent,0.28655,110
East Harlem,Households,2007,Percent,0.39766,111
Washington Heights,Households,2007,Percent,0.35559,112
Mott Haven,Households,2007,Percent,0.55865,201
Hunts Point,Households,2007,Percent,0.51652,202
Morrisania,Households,2007,Percent,0.5021,203
Concourse/Highbridge,Households,2007,Percent,0.47412,204
University Heights,Households,2007,Percent,0.47743,205
East Tremont,Households,2007,Percent,0.51634,206
Bedford Park,Households,2007,Percent,0.38672,207
Riverdale,Households,2007,Percent,0.12957,208
Unionport/Soundview,Households,2007,Percent,0.28551,209
Throgs Neck,Households,2007,Percent,0.10985,210
Pelham Parkway,Households,2007,Percent,0.16525,211
Williamsbridge,Households,2007,Percent,0.23212,212
Williamsburg/Greenpoint,Households,2007,Percent,0.28741,301
Fort Greene/Brooklyn Hts,Households,2007,Percent,0.15311,302
Bedford Stuyvesant,Households,2007,Percent,0.46743,303
Bushwick,Households,2007,Percent,0.38936,304
East New York,Households,2007,Percent,0.45945,305
Park Slope,Households,2007,Percent,0.10624,306
Sunset Park,Households,2007,Percent,0.21397,307
Crown Heights North,Households,2007,Percent,0.2204,308
Crown Heights South,Households,2007,Percent,0.21719,309
Bay Ridge,Households,2007,Percent,0.10871,310
Bensonhurst,Households,2007,Percent,0.20994,311
Borough Park,Households,2007,Percent,0.27832,312
Coney Island,Households,2007,Percent,0.32509,313
Flatbush/Midwood,Households,2007,Percent,0.24988,314
Sheepshead Bay,Households,2007,Percent,0.22067,315
Brownsville,Households,2007,Percent,0.32582,316
East Flatbush,Households,2007,Percent,0.24872,317
Canarsie,Households,2007,Percent,0.13591,318
Astoria,Households,2007,Percent,0.12545,401
Sunnyside/Woodside,Households,2007,Percent,0.09725,402
Jackson Heights,Households,2007,Percent,0.17343,403
Elmhurst/Corona,Households,2007,Percent,0.23178,404
Ridgewood/Glendale,Households,2007,Percent,0.10545,405
Rego Park/Forest Hills,Households,2007,Percent,0.09221,406
Flushing,Households,2007,Percent,0.10262,407
Fresh Meadows/Briarwood,Households,2007,Percent,0.10862,408
Woodhaven,Households,2007,Percent,0.14755,409
Howard Beach,Households,2007,Percent,0.10469,410
Bayside,Households,2007,Percent,0.04325,411
Jamaica/St. Albans,Households,2007,Percent,0.2013,412
Queens Village,Households,2007,Percent,0.10147,413
The Rockaways,Households,2007,Percent,0.23255,414
St. George,Households,2007,Percent,0.18745,501
South Beach,Households,2007,Percent,0.09052,502
Tottenville,Households,2007,Percent,0.05115,503
Bronx,Households,2007,Percent,0.32927,36005
Brooklyn,Households,2007,Percent,0.25143,36047
Manhattan,Households,2007,Percent,0.15358,36061
Queens,Households,2007,Percent,0.13098,36081
Staten Island,Households,2007,Percent,0.11228,36085
New York City,Households,2007,Percent,0.20126,3651000
Battery Park/Tribeca,Households,2009,Percent,0.05719,101
Greenwich Village,Households,2009,Percent,0.07391,102
Lower East Side,Households,2009,Percent,0.30908,103
Chelsea/Clinton,Households,2009,Percent,0.2511,104
Midtown Business District,Households,2009,Percent,0.11756,105
Murray Hill/Stuyvesant,Households,2009,Percent,0.03737,106
Upper West Side,Households,2009,Percent,0.10676,107
Upper East Side,Households,2009,Percent,0.02878,108
Manhattanville,Households,2009,Percent,0.34696,109
Central Harlem,Households,2009,Percent,0.3991,110
East Harlem,Households,2009,Percent,0.59923,111
Washington Heights,Households,2009,Percent,0.48602,112
Mott Haven,Households,2009,Percent,0.73883,201
Hunts Point,Households,2009,Percent,0.63373,202
Morrisania,Households,2009,Percent,0.66276,203
Concourse/Highbridge,Households,2009,Percent,0.65656,204
University Heights,Households,2009,Percent,0.58791,205
East Tremont,Households,2009,Percent,0.6595,206
Bedford Park,Households,2009,Percent,0.51795,207
Riverdale,Households,2009,Percent,0.18622,208
Unionport/Soundview,Households,2009,Percent,0.37476,209
Throgs Neck,Households,2009,Percent,0.17213,210
Pelham Parkway,Households,2009,Percent,0.24222,211
Williamsbridge,Households,2009,Percent,0.33487,212
Williamsburg/Greenpoint,Households,2009,Percent,0.40668,301
Fort Greene/Brooklyn Hts,Households,2009,Percent,0.21787,302
Bedford Stuyvesant,Households,2009,Percent,0.68672,303
Bushwick,Households,2009,Percent,0.5345,304
East New York,Households,2009,Percent,0.65909,305
Park Slope,Households,2009,Percent,0.13554,306
Sunset Park,Households,2009,Percent,0.29233,307
Crown Heights North,Households,2009,Percent,0.29681,308
Crown Heights South,Households,2009,Percent,0.31306,309
Bay Ridge,Households,2009,Percent,0.17534,310
Bensonhurst,Households,2009,Percent,0.31753,311
Borough Park,Households,2009,Percent,0.4103,312
Coney Island,Households,2009,Percent,0.42855,313
Flatbush/Midwood,Households,2009,Percent,0.34993,314
Sheepshead Bay,Households,2009,Percent,0.27581,315
Brownsville,Households,2009,Percent,0.47126,316
East Flatbush,Households,2009,Percent,0.37864,317
Canarsie,Households,2009,Percent,0.21171,318
Astoria,Households,2009,Percent,0.16313,401
Sunnyside/Woodside,Households,2009,Percent,0.13389,402
Jackson Heights,Households,2009,Percent,0.27264,403
Elmhurst/Corona,Households,2009,Percent,0.32267,404
Ridgewood/Glendale,Households,2009,Percent,0.15647,405
Rego Park/Forest Hills,Households,2009,Percent,0.10791,406
Flushing,Households,2009,Percent,0.12935,407
Fresh Meadows/Briarwood,Households,2009,Percent,0.1547,408
Woodhaven,Households,2009,Percent,0.24804,409
Howard Beach,Households,2009,Percent,0.19121,410
Bayside,Households,2009,Percent,0.06467,411
Jamaica/St. Albans,Households,2009,Percent,0.35722,412
Queens Village,Households,2009,Percent,0.17452,413
The Rockaways,Households,2009,Percent,0.35713,414
St. George,Households,2009,Percent,0.29842,501
South Beach,Households,2009,Percent,0.13902,502
Tottenville,Households,2009,Percent,0.08754,503
Bronx,Households,2009,Percent,0.44493,36005
Brooklyn,Households,2009,Percent,0.357,36047
Manhattan,Households,2009,Percent,0.2085,36061
Queens,Households,2009,Percent,0.19664,36081
Staten Island,Households,2009,Percent,0.18082,36085
New York City,Households,2009,Percent,0.28394,3651000
Battery Park/Tribeca,Households,2011,Percent,0.06949,101
Greenwich Village,Households,2011,Percent,0.07117,102
Lower East Side,Households,2011,Percent,0.41114,103
Chelsea/Clinton,Households,2011,Percent,0.17231,104
Midtown Business District,Households,2011,Percent,0.12884,105
Murray Hill/Stuyvesant,Households,2011,Percent,0.05468,106
Upper West Side,Households,2011,Percent,0.14728,107
Upper East Side,Households,2011,Percent,0.0447,108
Manhattanville,Households,2011,Percent,0.40373,109
Central Harlem,Households,2011,Percent,0.48054,110
East Harlem,Households,2011,Percent,0.64127,111
Washington Heights,Households,2011,Percent,0.60132,112
Mott Haven,Households,2011,Percent,0.81931,201
Hunts Point,Households,2011,Percent,0.73852,202
Morrisania,Households,2011,Percent,0.81384,203
Concourse/Highbridge,Households,2011,Percent,0.78194,204
University Heights,Households,2011,Percent,0.769,205
East Tremont,Households,2011,Percent,0.75891,206
Bedford Park,Households,2011,Percent,0.73359,207
Riverdale,Households,2011,Percent,0.26337,208
Unionport/Soundview,Households,2011,Percent,0.49335,209
Throgs Neck,Households,2011,Percent,0.21751,210
Pelham Parkway,Households,2011,Percent,0.33553,211
Williamsbridge,Households,2011,Percent,0.42441,212
Williamsburg/Greenpoint,Households,2011,Percent,0.39574,301
Fort Greene/Brooklyn Hts,Households,2011,Percent,0.17942,302
Bedford Stuyvesant,Households,2011,Percent,0.67064,303
Bushwick,Households,2011,Percent,0.5425,304
East New York,Households,2011,Percent,0.77061,305
Park Slope,Households,2011,Percent,0.15482,306
Sunset Park,Households,2011,Percent,0.35527,307
Crown Heights North,Households,2011,Percent,0.33658,308
Crown Heights South,Households,2011,Percent,0.36598,309
Bay Ridge,Households,2011,Percent,0.20745,310
Bensonhurst,Households,2011,Percent,0.37856,311
Borough Park,Households,2011,Percent,0.51555,312
Coney Island,Households,2011,Percent,0.48903,313
Flatbush/Midwood,Households,2011,Percent,0.39931,314
Sheepshead Bay,Households,2011,Percent,0.3288,315
Brownsville,Households,2011,Percent,0.49192,316
East Flatbush,Households,2011,Percent,0.46189,317
Canarsie,Households,2011,Percent,0.26652,318
Astoria,Households,2011,Percent,0.17157,401
Sunnyside/Woodside,Households,2011,Percent,0.13298,402
Jackson Heights,Households,2011,Percent,0.27062,403
Elmhurst/Corona,Households,2011,Percent,0.34805,404
Ridgewood/Glendale,Households,2011,Percent,0.16589,405
Rego Park/Forest Hills,Households,2011,Percent,0.10851,406
Flushing,Households,2011,Percent,0.15178,407
Fresh Meadows/Briarwood,Households,2011,Percent,0.16881,408
Woodhaven,Households,2011,Percent,0.24298,409
Howard Beach,Households,2011,Percent,0.19494,410
Bayside,Households,2011,Percent,0.07117,411
Jamaica/St. Albans,Households,2011,Percent,0.34609,412
Queens Village,Households,2011,Percent,0.18626,413
The Rockaways,Households,2011,Percent,0.38333,414
St. George,Households,2011,Percent,0.39222,501
South Beach,Households,2011,Percent,0.1987,502
Tottenville,Households,2011,Percent,0.116,503
Bronx,Households,2011,Percent,0.56334,36005
Brooklyn,Households,2011,Percent,0.39975,36047
Manhattan,Households,2011,Percent,0.25419,36061
Queens,Households,2011,Percent,0.20546,36081
Staten Island,Households,2011,Percent,0.23803,36085
New York City,Households,2011,Percent,0.33215,3651000
Battery Park/Tribeca,Individuals,2001,Number,1016,101
Battery Park/Tribeca,Individuals,2002,Number,1087,101
Greenwich Village,Individuals,2001,Number,2470,102
Greenwich Village,Individuals,2002,Number,2664,102
Lower East Side,Individuals,2001,Number,14322,103
Lower East Side,Individuals,2002,Number,17202,103
Chelsea/Clinton,Individuals,2001,Number,5350,104
Chelsea/Clinton,Individuals,2002,Number,5931,104
Midtown Business District,Individuals,2001,Number,2340,105
Midtown Business District,Individuals,2002,Number,2430,105
Murray Hill/Stuyvesant,Individuals,2001,Number,1847,106
Murray Hill/Stuyvesant,Individuals,2002,Number,2052,106
Upper West Side,Individuals,2001,Number,10020,107
Upper West Side,Individuals,2002,Number,10108,107
Upper East Side,Individuals,2001,Number,2223,108
Upper East Side,Individuals,2002,Number,2496,108
Manhattanville,Individuals,2001,Number,16533,109
Manhattanville,Individuals,2002,Number,16315,109
Central Harlem,Individuals,2001,Number,20167,110
Central Harlem,Individuals,2002,Number,19587,110
East Harlem,Individuals,2001,Number,19734,111
East Harlem,Individuals,2002,Number,22474,111
Washington Heights,Individuals,2001,Number,37285,112
Washington Heights,Individuals,2002,Number,36638,112
Mott Haven,Individuals,2001,Number,21287,201
Mott Haven,Individuals,2002,Number,21459,201
Hunts Point,Individuals,2001,Number,11544,202
