"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Fresh Meadows/Briarwood,Households,2001,Number,4539,408
Fresh Meadows/Briarwood,Households,2002,Number,4642,408
Woodhaven,Households,2001,Number,4671,409
Woodhaven,Households,2002,Number,4695,409
Howard Beach,Households,2001,Number,3053,410
Howard Beach,Households,2002,Number,3119,410
Bayside,Households,2001,Number,1144,411
Bayside,Households,2002,Number,1223,411
Jamaica/St. Albans,Households,2001,Number,9710,412
Jamaica/St. Albans,Households,2002,Number,9891,412
Queens Village,Households,2001,Number,4165,413
Queens Village,Households,2002,Number,4311,413
The Rockaways,Households,2001,Number,7008,414
The Rockaways,Households,2002,Number,7285,414
St. George,Households,2001,Number,8712,501
St. George,Households,2002,Number,11057,501
South Beach,Households,2001,Number,5369,502
South Beach,Households,2002,Number,6704,502
Tottenville,Households,2001,Number,2006,503
Tottenville,Households,2002,Number,2640,503
Bronx,Households,2001,Number,99364,36005
Bronx,Households,2002,Number,106322,36005
Brooklyn,Households,2001,Number,160921,36047
Brooklyn,Households,2002,Number,165438,36047
Manhattan,Households,2001,Number,78887,36061
Manhattan,Households,2002,Number,82827,36061
Queens,Households,2001,Number,70825,36081
Queens,Households,2002,Number,72715,36081
Staten Island,Households,2001,Number,1337,36085
Staten Island,Households,2002,Number,1713,36085
New York City,Households,2001,Number,418708,3651000
New York City,Households,2002,Number,438360,3651000
Battery Park/Tribeca,Households,2005,Number,1198,101
Greenwich Village,Households,2005,Number,2525,102
Lower East Side,Households,2005,Number,14828,103
Chelsea/Clinton,Households,2005,Number,8107,104
Midtown Business District,Households,2005,Number,2266,105
Murray Hill/Stuyvesant,Households,2005,Number,2279,106
Upper West Side,Households,2005,Number,9115,107
Upper East Side,Households,2005,Number,2465,108
Manhattanville,Households,2005,Number,11935,109
Central Harlem,Households,2005,Number,14107,110
East Harlem,Households,2005,Number,17273,111
Washington Heights,Households,2005,Number,25211,112
Mott Haven,Households,2005,Number,15022,201
Hunts Point,Households,2005,Number,7486,202
