"Name","SNAP (Food Stamps) by Cash Assistance Receipt"
"Description","Recipients of SNAP by Cash Assistance status.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - CA Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9</a>"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
&nbsp;Percentages presented by Cash Assistance Receipt refer to the number of individuals receiving SNAP.&nbsp;<br />
*CCC is in the process of filling in data for missing years.&nbsp;<br />"

Location,Cash Assistance Receipt,TimeFrame,DataFormat,Data,Fips
Williamsburg/Greenpoint,Receives Cash Assistance,2009,Number,6100,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2009,Number,3559,302
Bedford Stuyvesant,Receives Cash Assistance,2009,Number,15852,303
Bushwick,Receives Cash Assistance,2009,Number,9915,304
East New York,Receives Cash Assistance,2009,Number,17490,305
Park Slope,Receives Cash Assistance,2009,Number,2059,306
Sunset Park,Receives Cash Assistance,2009,Number,3520,307
Crown Heights North,Receives Cash Assistance,2009,Number,7817,308
Crown Heights South,Receives Cash Assistance,2009,Number,4861,309
Bay Ridge,Receives Cash Assistance,2009,Number,1799,310
Bensonhurst,Receives Cash Assistance,2009,Number,2996,311
Borough Park,Receives Cash Assistance,2009,Number,4062,312
Coney Island,Receives Cash Assistance,2009,Number,4351,313
Flatbush/Midwood,Receives Cash Assistance,2009,Number,6753,314
Sheepshead Bay,Receives Cash Assistance,2009,Number,2752,315
Brownsville,Receives Cash Assistance,2009,Number,13361,316
East Flatbush,Receives Cash Assistance,2009,Number,8079,317
Canarsie,Receives Cash Assistance,2009,Number,5108,318
Astoria,Receives Cash Assistance,2009,Number,7609,401
Sunnyside/Woodside,Receives Cash Assistance,2009,Number,2879,402
Jackson Heights,Receives Cash Assistance,2009,Number,6706,403
Elmhurst/Corona,Receives Cash Assistance,2009,Number,5859,404
Ridgewood/Glendale,Receives Cash Assistance,2009,Number,5485,405
Rego Park/Forest Hills,Receives Cash Assistance,2009,Number,1573,406
Flushing,Receives Cash Assistance,2009,Number,4396,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2009,Number,5566,408
Woodhaven,Receives Cash Assistance,2009,Number,7216,409
Howard Beach,Receives Cash Assistance,2009,Number,4874,410
Bayside,Receives Cash Assistance,2009,Number,957,411
Jamaica/St. Albans,Receives Cash Assistance,2009,Number,20704,412
Queens Village,Receives Cash Assistance,2009,Number,8418,413
The Rockaways,Receives Cash Assistance,2009,Number,14311,414
St. George,Receives Cash Assistance,2009,Number,11842,501
South Beach,Receives Cash Assistance,2009,Number,2049,502
Tottenville,Receives Cash Assistance,2009,Number,945,503
Bronx,Receives Cash Assistance,2009,Number,119206,36005
Brooklyn,Receives Cash Assistance,2009,Number,120433,36047
Manhattan,Receives Cash Assistance,2009,Number,57622,36061
Queens,Receives Cash Assistance,2009,Number,96552,36081
Staten Island,Receives Cash Assistance,2009,Number,14836,36085
New York City,Receives Cash Assistance,2009,Number,408757,3651000
Battery Park/Tribeca,Receives Cash Assistance,2011,Number,671,101
Greenwich Village,Receives Cash Assistance,2011,Number,416,102
Lower East Side,Receives Cash Assistance,2011,Number,7042,103
Chelsea/Clinton,Receives Cash Assistance,2011,Number,2501,104
Midtown Business District,Receives Cash Assistance,2011,Number,1315,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2011,Number,907,106
Upper West Side,Receives Cash Assistance,2011,Number,4158,107
Upper East Side,Receives Cash Assistance,2011,Number,812,108
Manhattanville,Receives Cash Assistance,2011,Number,6769,109
Central Harlem,Receives Cash Assistance,2011,Number,10828,110
East Harlem,Receives Cash Assistance,2011,Number,11978,111
Washington Heights,Receives Cash Assistance,2011,Number,10450,112
Mott Haven,Receives Cash Assistance,2011,Number,10499,201
Hunts Point,Receives Cash Assistance,2011,Number,6156,202
Morrisania,Receives Cash Assistance,2011,Number,9365,203
Concourse/Highbridge,Receives Cash Assistance,2011,Number,14715,204
University Heights,Receives Cash Assistance,2011,Number,14864,205
East Tremont,Receives Cash Assistance,2011,Number,11570,206
Bedford Park,Receives Cash Assistance,2011,Number,11410,207
Riverdale,Receives Cash Assistance,2011,Number,2631,208
Unionport/Soundview,Receives Cash Assistance,2011,Number,11733,209
Throgs Neck,Receives Cash Assistance,2011,Number,2526,210
Pelham Parkway,Receives Cash Assistance,2011,Number,4511,211
Williamsbridge,Receives Cash Assistance,2011,Number,9286,212
Williamsburg/Greenpoint,Receives Cash Assistance,2011,Number,5581,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2011,Number,2986,302
Bedford Stuyvesant,Receives Cash Assistance,2011,Number,14372,303
Bushwick,Receives Cash Assistance,2011,Number,8959,304
East New York,Receives Cash Assistance,2011,Number,16432,305
Park Slope,Receives Cash Assistance,2011,Number,1787,306
Sunset Park,Receives Cash Assistance,2011,Number,3423,307
Crown Heights North,Receives Cash Assistance,2011,Number,7272,308
Crown Heights South,Receives Cash Assistance,2011,Number,4695,309
Bay Ridge,Receives Cash Assistance,2011,Number,1788,310
Bensonhurst,Receives Cash Assistance,2011,Number,3119,311
Borough Park,Receives Cash Assistance,2011,Number,6258,312
Coney Island,Receives Cash Assistance,2011,Number,4242,313
Flatbush/Midwood,Receives Cash Assistance,2011,Number,6676,314
Sheepshead Bay,Receives Cash Assistance,2011,Number,2675,315
Brownsville,Receives Cash Assistance,2011,Number,11969,316
East Flatbush,Receives Cash Assistance,2011,Number,8025,317
Canarsie,Receives Cash Assistance,2011,Number,4772,318
Astoria,Receives Cash Assistance,2011,Number,7567,401
Sunnyside/Woodside,Receives Cash Assistance,2011,Number,3149,402
Jackson Heights,Receives Cash Assistance,2011,Number,7312,403
Elmhurst/Corona,Receives Cash Assistance,2011,Number,6515,404
Ridgewood/Glendale,Receives Cash Assistance,2011,Number,5798,405
Rego Park/Forest Hills,Receives Cash Assistance,2011,Number,1715,406
Flushing,Receives Cash Assistance,2011,Number,5192,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2011,Number,5752,408
Woodhaven,Receives Cash Assistance,2011,Number,7642,409
Howard Beach,Receives Cash Assistance,2011,Number,4519,410
Bayside,Receives Cash Assistance,2011,Number,1228,411
Jamaica/St. Albans,Receives Cash Assistance,2011,Number,22155,412
Queens Village,Receives Cash Assistance,2011,Number,9171,413
The Rockaways,Receives Cash Assistance,2011,Number,14294,414
St. George,Receives Cash Assistance,2011,Number,12573,501
South Beach,Receives Cash Assistance,2011,Number,2244,502
Tottenville,Receives Cash Assistance,2011,Number,909,503
Bronx,Receives Cash Assistance,2011,Number,109266,36005
Brooklyn,Receives Cash Assistance,2011,Number,115031,36047
Manhattan,Receives Cash Assistance,2011,Number,57847,36061
Queens,Receives Cash Assistance,2011,Number,102009,36081
Staten Island,Receives Cash Assistance,2011,Number,15726,36085
New York City,Receives Cash Assistance,2011,Number,399878,3651000
Battery Park/Tribeca,Receives Cash Assistance,2001,Percent,0.59449,101
Battery Park/Tribeca,Receives Cash Assistance,2002,Percent,0.55014,101
Greenwich Village,Receives Cash Assistance,2001,Percent,0.40891,102
Greenwich Village,Receives Cash Assistance,2002,Percent,0.31944,102
Lower East Side,Receives Cash Assistance,2001,Percent,0.50824,103
Lower East Side,Receives Cash Assistance,2002,Percent,0.39408,103
Chelsea/Clinton,Receives Cash Assistance,2001,Percent,0.47738,104
Chelsea/Clinton,Receives Cash Assistance,2002,Percent,0.43871,104
Midtown Business District,Receives Cash Assistance,2001,Percent,0.63974,105
Midtown Business District,Receives Cash Assistance,2002,Percent,0.62099,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2001,Percent,0.49432,106
Murray Hill/Stuyvesant,Receives Cash Assistance,2002,Percent,0.42203,106
Upper West Side,Receives Cash Assistance,2001,Percent,0.53713,107
Upper West Side,Receives Cash Assistance,2002,Percent,0.49773,107
Upper East Side,Receives Cash Assistance,2001,Percent,0.38372,108
Upper East Side,Receives Cash Assistance,2002,Percent,0.31811,108
Manhattanville,Receives Cash Assistance,2001,Percent,0.59281,109
Manhattanville,Receives Cash Assistance,2002,Percent,0.51879,109
Central Harlem,Receives Cash Assistance,2001,Percent,0.67343,110
Central Harlem,Receives Cash Assistance,2002,Percent,0.59555,110
East Harlem,Receives Cash Assistance,2001,Percent,0.75666,111
East Harlem,Receives Cash Assistance,2002,Percent,0.59678,111
Washington Heights,Receives Cash Assistance,2001,Percent,0.44986,112
Washington Heights,Receives Cash Assistance,2002,Percent,0.39361,112
Mott Haven,Receives Cash Assistance,2001,Percent,0.73388,201
Mott Haven,Receives Cash Assistance,2002,Percent,0.68512,201
Hunts Point,Receives Cash Assistance,2001,Percent,0.72375,202
Hunts Point,Receives Cash Assistance,2002,Percent,0.67328,202
Morrisania,Receives Cash Assistance,2001,Percent,0.737,203
Morrisania,Receives Cash Assistance,2002,Percent,0.679,203
Concourse/Highbridge,Receives Cash Assistance,2001,Percent,0.72042,204
Concourse/Highbridge,Receives Cash Assistance,2002,Percent,0.67199,204
University Heights,Receives Cash Assistance,2001,Percent,0.73017,205
University Heights,Receives Cash Assistance,2002,Percent,0.70364,205
East Tremont,Receives Cash Assistance,2001,Percent,0.75004,206
East Tremont,Receives Cash Assistance,2002,Percent,0.71318,206
Bedford Park,Receives Cash Assistance,2001,Percent,0.71275,207
Bedford Park,Receives Cash Assistance,2002,Percent,0.6629,207
Riverdale,Receives Cash Assistance,2001,Percent,0.57938,208
Riverdale,Receives Cash Assistance,2002,Percent,0.53215,208
Unionport/Soundview,Receives Cash Assistance,2001,Percent,0.79048,209
Unionport/Soundview,Receives Cash Assistance,2002,Percent,0.62009,209
Throgs Neck,Receives Cash Assistance,2001,Percent,0.56426,210
Throgs Neck,Receives Cash Assistance,2002,Percent,0.44867,210
Pelham Parkway,Receives Cash Assistance,2001,Percent,0.62483,211
Pelham Parkway,Receives Cash Assistance,2002,Percent,0.52273,211
Williamsbridge,Receives Cash Assistance,2001,Percent,0.75952,212
Williamsbridge,Receives Cash Assistance,2002,Percent,0.65351,212
Williamsburg/Greenpoint,Receives Cash Assistance,2001,Percent,0.3081,301
Williamsburg/Greenpoint,Receives Cash Assistance,2002,Percent,0.26695,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2001,Percent,0.60762,302
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2002,Percent,0.5664,302
Bedford Stuyvesant,Receives Cash Assistance,2001,Percent,0.67386,303
Bedford Stuyvesant,Receives Cash Assistance,2002,Percent,0.61892,303
Bushwick,Receives Cash Assistance,2001,Percent,0.62528,304
Bushwick,Receives Cash Assistance,2002,Percent,0.57229,304
East New York,Receives Cash Assistance,2001,Percent,0.64203,305
East New York,Receives Cash Assistance,2002,Percent,0.59593,305
Park Slope,Receives Cash Assistance,2001,Percent,0.5527,306
Park Slope,Receives Cash Assistance,2002,Percent,0.49006,306
Sunset Park,Receives Cash Assistance,2001,Percent,0.47236,307
Sunset Park,Receives Cash Assistance,2002,Percent,0.39919,307
Crown Heights North,Receives Cash Assistance,2001,Percent,0.65755,308
Crown Heights North,Receives Cash Assistance,2002,Percent,0.60725,308
Crown Heights South,Receives Cash Assistance,2001,Percent,0.50193,309
Crown Heights South,Receives Cash Assistance,2002,Percent,0.27872,309
Bay Ridge,Receives Cash Assistance,2001,Percent,0.34616,310
Bay Ridge,Receives Cash Assistance,2002,Percent,0.28381,310
Bensonhurst,Receives Cash Assistance,2001,Percent,0.23259,311
Bensonhurst,Receives Cash Assistance,2002,Percent,0.19368,311
Borough Park,Receives Cash Assistance,2001,Percent,0.21903,312
Borough Park,Receives Cash Assistance,2002,Percent,0.1811,312
Coney Island,Receives Cash Assistance,2001,Percent,0.33993,313
Coney Island,Receives Cash Assistance,2002,Percent,0.29426,313
Flatbush/Midwood,Receives Cash Assistance,2001,Percent,0.44476,314
Flatbush/Midwood,Receives Cash Assistance,2002,Percent,0.41929,314
Sheepshead Bay,Receives Cash Assistance,2001,Percent,0.26857,315
Sheepshead Bay,Receives Cash Assistance,2002,Percent,0.23326,315
Brownsville,Receives Cash Assistance,2001,Percent,0.72896,316
Brownsville,Receives Cash Assistance,2002,Percent,0.66327,316
East Flatbush,Receives Cash Assistance,2001,Percent,0.59847,317
East Flatbush,Receives Cash Assistance,2002,Percent,0.55475,317
Canarsie,Receives Cash Assistance,2001,Percent,0.48119,318
Canarsie,Receives Cash Assistance,2002,Percent,0.44289,318
Astoria,Receives Cash Assistance,2001,Percent,0.47886,401
Astoria,Receives Cash Assistance,2002,Percent,0.45429,401
Sunnyside/Woodside,Receives Cash Assistance,2001,Percent,0.32096,402
Sunnyside/Woodside,Receives Cash Assistance,2002,Percent,0.28901,402
Jackson Heights,Receives Cash Assistance,2001,Percent,0.39385,403
Jackson Heights,Receives Cash Assistance,2002,Percent,0.36039,403
Elmhurst/Corona,Receives Cash Assistance,2001,Percent,0.37651,404
Elmhurst/Corona,Receives Cash Assistance,2002,Percent,0.34082,404
Ridgewood/Glendale,Receives Cash Assistance,2001,Percent,0.46095,405
Ridgewood/Glendale,Receives Cash Assistance,2002,Percent,0.40124,405
Rego Park/Forest Hills,Receives Cash Assistance,2001,Percent,0.30328,406
Rego Park/Forest Hills,Receives Cash Assistance,2002,Percent,0.271,406
Flushing,Receives Cash Assistance,2001,Percent,0.26705,407
Flushing,Receives Cash Assistance,2002,Percent,0.23656,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2001,Percent,0.49128,408
Fresh Meadows/Briarwood,Receives Cash Assistance,2002,Percent,0.48235,408
Woodhaven,Receives Cash Assistance,2001,Percent,0.46409,409
Woodhaven,Receives Cash Assistance,2002,Percent,0.41052,409
Howard Beach,Receives Cash Assistance,2001,Percent,0.46389,410
Howard Beach,Receives Cash Assistance,2002,Percent,0.43807,410
Bayside,Receives Cash Assistance,2001,Percent,0.22174,411
Bayside,Receives Cash Assistance,2002,Percent,0.19279,411
Jamaica/St. Albans,Receives Cash Assistance,2001,Percent,0.56959,412
Jamaica/St. Albans,Receives Cash Assistance,2002,Percent,0.54447,412
Queens Village,Receives Cash Assistance,2001,Percent,0.52286,413
Queens Village,Receives Cash Assistance,2002,Percent,0.48426,413
The Rockaways,Receives Cash Assistance,2001,Percent,0.52689,414
The Rockaways,Receives Cash Assistance,2002,Percent,0.48998,414
St. George,Receives Cash Assistance,2001,Percent,0.76962,501
St. George,Receives Cash Assistance,2002,Percent,0.57179,501
South Beach,Receives Cash Assistance,2001,Percent,0.52618,502
South Beach,Receives Cash Assistance,2002,Percent,0.35979,502
Tottenville,Receives Cash Assistance,2001,Percent,0.38518,503
Tottenville,Receives Cash Assistance,2002,Percent,0.26318,503
Bronx,Receives Cash Assistance,2001,Percent,0.72472,36005
Bronx,Receives Cash Assistance,2002,Percent,0.65775,36005
Brooklyn,Receives Cash Assistance,2001,Percent,0.47654,36047
Brooklyn,Receives Cash Assistance,2002,Percent,0.43031,36047
Manhattan,Receives Cash Assistance,2001,Percent,0.56395,36061
Manhattan,Receives Cash Assistance,2002,Percent,0.48201,36061
Queens,Receives Cash Assistance,2001,Percent,0.44667,36081
Queens,Receives Cash Assistance,2002,Percent,0.41302,36081
Staten Island,Receives Cash Assistance,2001,Percent,0.67734,36085
Staten Island,Receives Cash Assistance,2002,Percent,0.20385,36085
New York City,Receives Cash Assistance,2001,Percent,0.55449,3651000
New York City,Receives Cash Assistance,2002,Percent,0.49724,3651000
Battery Park/Tribeca,Receives Cash Assistance,2005,Percent,0.47269,101
Greenwich Village,Receives Cash Assistance,2005,Percent,0.20993,102
Lower East Side,Receives Cash Assistance,2005,Percent,0.29545,103
Chelsea/Clinton,Receives Cash Assistance,2005,Percent,0.39092,104
Midtown Business District,Receives Cash Assistance,2005,Percent,0.51526,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2005,Percent,0.32402,106
Upper West Side,Receives Cash Assistance,2005,Percent,0.40505,107
Upper East Side,Receives Cash Assistance,2005,Percent,0.27683,108
Manhattanville,Receives Cash Assistance,2005,Percent,0.44398,109
Central Harlem,Receives Cash Assistance,2005,Percent,0.48934,110
East Harlem,Receives Cash Assistance,2005,Percent,0.49077,111
Washington Heights,Receives Cash Assistance,2005,Percent,0.32344,112
Mott Haven,Receives Cash Assistance,2005,Percent,0.56295,201
Hunts Point,Receives Cash Assistance,2005,Percent,0.54389,202
Morrisania,Receives Cash Assistance,2005,Percent,0.57054,203
Concourse/Highbridge,Receives Cash Assistance,2005,Percent,0.53704,204
University Heights,Receives Cash Assistance,2005,Percent,0.56872,205
East Tremont,Receives Cash Assistance,2005,Percent,0.62074,206
Bedford Park,Receives Cash Assistance,2005,Percent,0.54733,207
Riverdale,Receives Cash Assistance,2005,Percent,0.43437,208
Unionport/Soundview,Receives Cash Assistance,2005,Percent,0.53645,209
Throgs Neck,Receives Cash Assistance,2005,Percent,0.40416,210
Pelham Parkway,Receives Cash Assistance,2005,Percent,0.47001,211
Williamsbridge,Receives Cash Assistance,2005,Percent,0.59794,212
Williamsburg/Greenpoint,Receives Cash Assistance,2005,Percent,0.21,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2005,Percent,0.45607,302
Bedford Stuyvesant,Receives Cash Assistance,2005,Percent,0.51198,303
Bushwick,Receives Cash Assistance,2005,Percent,0.44984,304
East New York,Receives Cash Assistance,2005,Percent,0.47947,305
Park Slope,Receives Cash Assistance,2005,Percent,0.40524,306
Sunset Park,Receives Cash Assistance,2005,Percent,0.28079,307
Crown Heights North,Receives Cash Assistance,2005,Percent,0.54137,308
Crown Heights South,Receives Cash Assistance,2005,Percent,0.40026,309
Bay Ridge,Receives Cash Assistance,2005,Percent,0.21198,310
Bensonhurst,Receives Cash Assistance,2005,Percent,0.15299,311
Borough Park,Receives Cash Assistance,2005,Percent,0.14056,312
Coney Island,Receives Cash Assistance,2005,Percent,0.24332,313
Flatbush/Midwood,Receives Cash Assistance,2005,Percent,0.35748,314
Sheepshead Bay,Receives Cash Assistance,2005,Percent,0.18637,315
Brownsville,Receives Cash Assistance,2005,Percent,0.57677,316
East Flatbush,Receives Cash Assistance,2005,Percent,0.45528,317
Canarsie,Receives Cash Assistance,2005,Percent,0.37776,318
Astoria,Receives Cash Assistance,2005,Percent,0.35596,401
Sunnyside/Woodside,Receives Cash Assistance,2005,Percent,0.24858,402
Jackson Heights,Receives Cash Assistance,2005,Percent,0.26221,403
Elmhurst/Corona,Receives Cash Assistance,2005,Percent,0.23977,404
Ridgewood/Glendale,Receives Cash Assistance,2005,Percent,0.30367,405
Rego Park/Forest Hills,Receives Cash Assistance,2005,Percent,0.20089,406
Flushing,Receives Cash Assistance,2005,Percent,0.20615,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2005,Percent,0.36545,408
Woodhaven,Receives Cash Assistance,2005,Percent,0.34281,409
Howard Beach,Receives Cash Assistance,2005,Percent,0.35428,410
Bayside,Receives Cash Assistance,2005,Percent,0.17733,411
Jamaica/St. Albans,Receives Cash Assistance,2005,Percent,0.45525,412
Queens Village,Receives Cash Assistance,2005,Percent,0.42884,413
The Rockaways,Receives Cash Assistance,2005,Percent,0.42762,414
St. George,Receives Cash Assistance,2005,Percent,0.51345,501
South Beach,Receives Cash Assistance,2005,Percent,0.28994,502
Tottenville,Receives Cash Assistance,2005,Percent,0.20615,503
Bronx,Receives Cash Assistance,2005,Percent,0.54953,36005
Brooklyn,Receives Cash Assistance,2005,Percent,0.35903,36047
Manhattan,Receives Cash Assistance,2005,Percent,0.39487,36061
Queens,Receives Cash Assistance,2005,Percent,0.33258,36081
Staten Island,Receives Cash Assistance,2005,Percent,0.42658,36085
New York City,Receives Cash Assistance,2005,Percent,0.41452,3651000
Battery Park/Tribeca,Receives Cash Assistance,2006,Percent,0.44494,101
Greenwich Village,Receives Cash Assistance,2006,Percent,0.13521,102
Lower East Side,Receives Cash Assistance,2006,Percent,0.26433,103
Chelsea/Clinton,Receives Cash Assistance,2006,Percent,0.33263,104
Midtown Business District,Receives Cash Assistance,2006,Percent,0.50148,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2006,Percent,0.26048,106
Upper West Side,Receives Cash Assistance,2006,Percent,0.37416,107
Upper East Side,Receives Cash Assistance,2006,Percent,0.24798,108
Manhattanville,Receives Cash Assistance,2006,Percent,0.41204,109
Central Harlem,Receives Cash Assistance,2006,Percent,0.44569,110
East Harlem,Receives Cash Assistance,2006,Percent,0.46292,111
Washington Heights,Receives Cash Assistance,2006,Percent,0.29502,112
Mott Haven,Receives Cash Assistance,2006,Percent,0.51601,201
Hunts Point,Receives Cash Assistance,2006,Percent,0.49695,202
Morrisania,Receives Cash Assistance,2006,Percent,0.53362,203
Concourse/Highbridge,Receives Cash Assistance,2006,Percent,0.50853,204
University Heights,Receives Cash Assistance,2006,Percent,0.53866,205
East Tremont,Receives Cash Assistance,2006,Percent,0.59183,206
Bedford Park,Receives Cash Assistance,2006,Percent,0.51543,207
Riverdale,Receives Cash Assistance,2006,Percent,0.38354,208
Unionport/Soundview,Receives Cash Assistance,2006,Percent,0.50281,209
Throgs Neck,Receives Cash Assistance,2006,Percent,0.35952,210
Pelham Parkway,Receives Cash Assistance,2006,Percent,0.44112,211
Williamsbridge,Receives Cash Assistance,2006,Percent,0.57476,212
Williamsburg/Greenpoint,Receives Cash Assistance,2006,Percent,0.18304,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2006,Percent,0.41726,302
Bedford Stuyvesant,Receives Cash Assistance,2006,Percent,0.47048,303
Bushwick,Receives Cash Assistance,2006,Percent,0.41537,304
East New York,Receives Cash Assistance,2006,Percent,0.44205,305
Park Slope,Receives Cash Assistance,2006,Percent,0.36295,306
Sunset Park,Receives Cash Assistance,2006,Percent,0.25409,307
Crown Heights North,Receives Cash Assistance,2006,Percent,0.49385,308
Crown Heights South,Receives Cash Assistance,2006,Percent,0.35879,309
Bay Ridge,Receives Cash Assistance,2006,Percent,0.19419,310
Bensonhurst,Receives Cash Assistance,2006,Percent,0.13586,311
Borough Park,Receives Cash Assistance,2006,Percent,0.11929,312
Coney Island,Receives Cash Assistance,2006,Percent,0.21598,313
Flatbush/Midwood,Receives Cash Assistance,2006,Percent,0.32397,314
Sheepshead Bay,Receives Cash Assistance,2006,Percent,0.16545,315
Brownsville,Receives Cash Assistance,2006,Percent,0.52747,316
East Flatbush,Receives Cash Assistance,2006,Percent,0.42525,317
Canarsie,Receives Cash Assistance,2006,Percent,0.34663,318
Astoria,Receives Cash Assistance,2006,Percent,0.30611,401
Sunnyside/Woodside,Receives Cash Assistance,2006,Percent,0.21455,402
Jackson Heights,Receives Cash Assistance,2006,Percent,0.2289,403
Elmhurst/Corona,Receives Cash Assistance,2006,Percent,0.20812,404
Ridgewood/Glendale,Receives Cash Assistance,2006,Percent,0.26987,405
Rego Park/Forest Hills,Receives Cash Assistance,2006,Percent,0.15869,406
Flushing,Receives Cash Assistance,2006,Percent,0.1854,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2006,Percent,0.33835,408
Woodhaven,Receives Cash Assistance,2006,Percent,0.32694,409
Howard Beach,Receives Cash Assistance,2006,Percent,0.3352,410
Bayside,Receives Cash Assistance,2006,Percent,0.15942,411
Jamaica/St. Albans,Receives Cash Assistance,2006,Percent,0.43077,412
Queens Village,Receives Cash Assistance,2006,Percent,0.41632,413
The Rockaways,Receives Cash Assistance,2006,Percent,0.41852,414
St. George,Receives Cash Assistance,2006,Percent,0.47954,501
South Beach,Receives Cash Assistance,2006,Percent,0.26688,502
Tottenville,Receives Cash Assistance,2006,Percent,0.19315,503
Bronx,Receives Cash Assistance,2006,Percent,0.38134,36005
Brooklyn,Receives Cash Assistance,2006,Percent,0.38134,36047
Manhattan,Receives Cash Assistance,2006,Percent,0.38134,36061
Queens,Receives Cash Assistance,2006,Percent,0.38134,36081
Staten Island,Receives Cash Assistance,2006,Percent,0.38134,36085
New York City,Receives Cash Assistance,2006,Percent,0.38134,3651000
Battery Park/Tribeca,Receives Cash Assistance,2007,Percent,0.43696,101
Greenwich Village,Receives Cash Assistance,2007,Percent,0.12615,102
Lower East Side,Receives Cash Assistance,2007,Percent,0.2564,103
Chelsea/Clinton,Receives Cash Assistance,2007,Percent,0.31228,104
Midtown Business District,Receives Cash Assistance,2007,Percent,0.47546,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2007,Percent,0.26745,106
Upper West Side,Receives Cash Assistance,2007,Percent,0.37343,107
Upper East Side,Receives Cash Assistance,2007,Percent,0.23393,108
Manhattanville,Receives Cash Assistance,2007,Percent,0.39694,109
Central Harlem,Receives Cash Assistance,2007,Percent,0.43389,110
East Harlem,Receives Cash Assistance,2007,Percent,0.44977,111
Washington Heights,Receives Cash Assistance,2007,Percent,0.26961,112
Mott Haven,Receives Cash Assistance,2007,Percent,0.34058,201
Hunts Point,Receives Cash Assistance,2007,Percent,0.34305,202
Morrisania,Receives Cash Assistance,2007,Percent,0.35863,203
Concourse/Highbridge,Receives Cash Assistance,2007,Percent,0.34334,204
University Heights,Receives Cash Assistance,2007,Percent,0.36969,205
East Tremont,Receives Cash Assistance,2007,Percent,0.42119,206
Bedford Park,Receives Cash Assistance,2007,Percent,0.33802,207
Riverdale,Receives Cash Assistance,2007,Percent,0.22237,208
Unionport/Soundview,Receives Cash Assistance,2007,Percent,0.33435,209
Throgs Neck,Receives Cash Assistance,2007,Percent,0.22984,210
Pelham Parkway,Receives Cash Assistance,2007,Percent,0.29137,211
Williamsbridge,Receives Cash Assistance,2007,Percent,0.38076,212
Williamsburg/Greenpoint,Receives Cash Assistance,2007,Percent,0.18568,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2007,Percent,0.41871,302
Bedford Stuyvesant,Receives Cash Assistance,2007,Percent,0.48607,303
Bushwick,Receives Cash Assistance,2007,Percent,0.43515,304
East New York,Receives Cash Assistance,2007,Percent,0.46204,305
Park Slope,Receives Cash Assistance,2007,Percent,0.38055,306
Sunset Park,Receives Cash Assistance,2007,Percent,0.25949,307
Crown Heights North,Receives Cash Assistance,2007,Percent,0.51481,308
Crown Heights South,Receives Cash Assistance,2007,Percent,0.38686,309
Bay Ridge,Receives Cash Assistance,2007,Percent,0.21232,310
Bensonhurst,Receives Cash Assistance,2007,Percent,0.16062,311
Borough Park,Receives Cash Assistance,2007,Percent,0.12744,312
Coney Island,Receives Cash Assistance,2007,Percent,0.23491,313
Flatbush/Midwood,Receives Cash Assistance,2007,Percent,0.33882,314
Sheepshead Bay,Receives Cash Assistance,2007,Percent,0.18071,315
Brownsville,Receives Cash Assistance,2007,Percent,0.54904,316
East Flatbush,Receives Cash Assistance,2007,Percent,0.44881,317
Canarsie,Receives Cash Assistance,2007,Percent,0.36296,318
Astoria,Receives Cash Assistance,2007,Percent,0.3368,401
Sunnyside/Woodside,Receives Cash Assistance,2007,Percent,0.24221,402
Jackson Heights,Receives Cash Assistance,2007,Percent,0.26868,403
Elmhurst/Corona,Receives Cash Assistance,2007,Percent,0.22865,404
