"Name","COVID-19 Cases by Sex"
"Description","Rates refer to the total number of confirmed COVID-19 cases per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete. Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;"

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Male,06/08,Rate,2619.69,3651000
New York City,Female,06/12,Number,99950,3651000
New York City,Male,06/12,Number,105771,3651000
New York City,Female,06/12,Rate,2275.33,3651000
New York City,Male,06/12,Rate,2640.33,3651000
New York City,Female,06/15,Number,100536,3651000
New York City,Male,06/15,Number,106362,3651000
New York City,Female,06/15,Rate,2288.67,3651000
New York City,Male,06/15,Rate,2655.09,3651000
New York City,Female,06/19,Number,101279,3651000
New York City,Male,06/19,Number,107045,3651000
New York City,Female,06/19,Rate,2305.58,3651000
New York City,Male,06/19,Rate,2672.14,3651000
New York City,Female,06/22,Number,101825,3651000
New York City,Male,06/22,Number,107604,3651000
New York City,Female,06/22,Rate,2318.01,3651000
New York City,Male,06/22,Rate,2686.09,3651000
New York City,Female,06/26,Number,102490,3651000
New York City,Male,06/26,Number,108277,3651000
New York City,Female,06/26,Rate,2333.15,3651000
New York City,Male,06/26,Rate,2702.89,3651000
New York City,Female,06/30,Number,103105,3651000
New York City,Male,06/30,Number,108829,3651000
New York City,Female,06/30,Rate,2347.15,3651000
New York City,Male,06/30,Rate,2716.67,3651000
New York City,Female,07/09,Number,104605,3651000
New York City,Male,07/09,Number,110208,3651000
New York City,Female,07/09,Rate,2381.29,3651000
New York City,Male,07/09,Rate,2751.09,3651000
New York City,Female,07/20,Number,106458,3651000
New York City,Male,07/20,Number,111848,3651000
New York City,Female,07/20,Rate,2423.48,3651000
New York City,Male,07/20,Rate,2792.03,3651000
New York City,Female,07/30,Number,108058,3651000
New York City,Male,07/30,Number,113273,3651000
New York City,Female,07/30,Rate,2459.9,3651000
New York City,Male,07/30,Rate,2827.61,3651000
New York City,Female,08/05,Number,108926,3651000
New York City,Male,08/05,Number,114089,3651000
New York City,Female,08/05,Rate,2479.66,3651000
New York City,Male,08/05,Rate,2847.98,3651000
New York City,Female,08/16,Number,110976,3651000
New York City,Male,08/16,Number,115595,3651000
New York City,Female,08/16,Rate,2526.33,3651000
New York City,Male,08/16,Rate,2885.57,3651000
New York City,Female,08/23,Number,111861,3651000
New York City,Male,08/23,Number,116378,3651000
New York City,Female,08/23,Rate,2546.47,3651000
New York City,Male,08/23,Rate,2905.11,3651000
New York City,Female,09/07,Number,113704,3651000
New York City,Male,09/07,Number,117897,3651000
New York City,Female,09/07,Rate,2588.43,3651000
New York City,Male,09/07,Rate,2943.03,3651000
New York City,Female,09/14,Number,114655,3651000
New York City,Male,09/14,Number,118774,3651000
New York City,Female,09/14,Rate,2610.08,3651000
New York City,Male,09/14,Rate,2964.93,3651000
New York City,Female,09/27,Number,116759,3651000
New York City,Male,09/27,Number,120965,3651000
New York City,Female,09/27,Rate,2657.98,3651000
New York City,Male,09/27,Rate,3019.62,3651000
New York City,Female,10/07,Number,119153,3651000
New York City,Male,10/07,Number,123441,3651000
New York City,Female,10/07,Rate,2712.47,3651000
New York City,Male,10/07,Rate,3081.43,3651000
New York City,Female,10/14,Number,120906,3651000
New York City,Male,10/14,Number,125127,3651000
New York City,Female,10/14,Rate,2752.38,3651000
New York City,Male,10/14,Rate,3123.51,3651000
New York City,Female,10/21,Number,122734,3651000
New York City,Male,10/21,Number,126899,3651000
New York City,Female,10/28,Number,124669,3651000
New York City,Male,10/28,Number,128698,3651000
New York City,Female,10/21,Rate,2793.99,3651000
New York City,Male,10/21,Rate,3167.75,3651000
New York City,Female,10/28,Rate,2838.04,3651000
New York City,Male,10/28,Rate,3212.66,3651000
