"Name","COVID-19 Cases by Neighborhood Poverty"
"Description","Neighborhood poverty as the percentage of people earning incomes below the Federal Poverty Threshold within a ZCTA, such that:&nbsp;<br />
<em>Low</em>: &lt;10% of residents in ZCTA living below the Federal Poverty Threshold&nbsp;<br />
<em>Medium</em>: 10% to &lt;20%&nbsp;<br />
<em>High</em>: 20% to &lt;30%<br />
<em>Very high</em>: &ge;30% residents living below the FPT<br />
<br />
Rates refer to number of confirmed cases per 100,000 people in ZCTA of residence.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong>Data are updated weekly.&nbsp;</strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Neighborhood Poverty,TimeFrame,DataFormat,Data,Fips
New York City,High,07/20,Rate,2482.72,3651000
New York City,Very High,07/20,Rate,2887.48,3651000
New York City,Low,07/30,Number,35590,3651000
New York City,Medium,07/30,Number,85494,3651000
New York City,High,07/30,Number,53613,3651000
New York City,Very High,07/30,Number,39928,3651000
New York City,Low,07/30,Rate,1921.54,3651000
New York City,Medium,07/30,Rate,2334.43,3651000
New York City,High,07/30,Rate,2522.31,3651000
New York City,Very High,07/30,Rate,2932.12,3651000
New York City,Low,08/05,Number,35832,3651000
New York City,Medium,08/05,Number,86114,3651000
New York City,High,08/05,Number,54065,3651000
New York City,Very High,08/05,Number,40284,3651000
New York City,Low,08/05,Rate,1936.16,3651000
New York City,Medium,08/05,Rate,2352.31,3651000
New York City,High,08/05,Rate,2544.37,3651000
New York City,Very High,08/05,Rate,2957.96,3651000
New York City,Low,08/16,Number,36361,3651000
New York City,Medium,08/16,Number,87450,3651000
New York City,High,08/16,Number,55101,3651000
New York City,Very High,08/16,Number,41144,3651000
New York City,Low,08/16,Rate,1967.8,3651000
New York City,Medium,08/16,Rate,2390.31,3651000
New York City,High,08/16,Rate,2594.26,3651000
New York City,Very High,08/16,Rate,3020.42,3651000
New York City,Low,08/23,Number,36638,3651000
New York City,Medium,08/23,Number,88162,3651000
New York City,High,08/23,Number,55565,3651000
New York City,Very High,08/23,Number,41475,3651000
New York City,Low,08/23,Rate,1984.44,3651000
New York City,Medium,08/23,Rate,2411.21,3651000
New York City,High,08/23,Rate,2616.79,3651000
New York City,Very High,08/23,Rate,3044.32,3651000
New York City,Low,09/07,Number,37151,3651000
New York City,Medium,09/07,Number,89413,3651000
New York City,High,09/07,Number,56561,3651000
New York City,Very High,09/07,Number,42126,3651000
New York City,Low,09/07,Rate,2015.78,3651000
New York City,Medium,09/07,Rate,2447.18,3651000
New York City,High,09/07,Rate,2665.17,3651000
New York City,Very High,09/07,Rate,3091.27,3651000
New York City,Low,09/14,Number,37524,3651000
New York City,Medium,09/14,Number,90130,3651000
New York City,High,09/14,Number,57038,3651000
New York City,Very High,09/14,Number,42383,3651000
New York City,Low,09/14,Rate,2038.64,3651000
New York City,Medium,09/14,Rate,2467.76,3651000
New York City,High,09/14,Rate,2687.87,3651000
New York City,Very High,09/14,Rate,3109.36,3651000
New York City,Low,09/27,Number,38234,3651000
New York City,Medium,09/27,Number,91996,3651000
New York City,High,09/27,Number,58184,3651000
New York City,Very High,09/27,Number,43015,3651000
New York City,Low,09/27,Rate,2081.59,3651000
New York City,Medium,09/27,Rate,2523.03,3651000
New York City,High,09/27,Rate,2743.68,3651000
New York City,Very High,09/27,Rate,3154.48,3651000
New York City,Low,10/07,Number,38960,3651000
New York City,Medium,10/07,Number,93995,3651000
New York City,High,10/07,Number,59576,3651000
New York City,Very High,10/07,Number,43739,3651000
New York City,Low,10/07,Rate,2127.53,3651000
New York City,Medium,10/07,Rate,2582.22,3651000
New York City,High,10/07,Rate,2811.24,3651000
New York City,Very High,10/07,Rate,3206.6,3651000
New York City,Low,10/14,Number,39549,3651000
New York City,Medium,10/14,Number,95409,3651000
New York City,High,10/14,Number,60527,3651000
New York City,Very High,10/14,Number,44247,3651000
New York City,Low,10/14,Rate,2162.77,3651000
New York City,Medium,10/14,Rate,2623.74,3651000
New York City,High,10/14,Rate,2857.3,3651000
New York City,Very High,10/14,Rate,3243.09,3651000
New York City,Low,10/21,Number,40187,3651000
New York City,Medium,10/21,Number,96923,3651000
New York City,High,10/21,Number,61447,3651000
New York City,Very High,10/21,Number,44839,3651000
New York City,Low,10/28,Number,40853,3651000
New York City,Medium,10/28,Number,98400,3651000
New York City,High,10/28,Number,62388,3651000
New York City,Very High,10/28,Number,45484,3651000
New York City,Low,10/21,Rate,2202.08,3651000
New York City,Medium,10/21,Rate,2667.83,3651000
New York City,High,10/21,Rate,2902.2,3651000
New York City,Very High,10/21,Rate,3285.77,3651000
New York City,Low,10/28,Rate,2242.21,3651000
New York City,Medium,10/28,Rate,2711.32,3651000
New York City,High,10/28,Rate,2947.93,3651000
New York City,Very High,10/28,Rate,3332.18,3651000
